SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,DINNING_DESC,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,LAUNDARY_FEATURES,FLOORING_FEATURES,BATH_DESCRIPTION,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
MLS Listing,,Townhouse,711 Duncanville Ct,Campbell,CA,95008,1075000,2,3.0,CAMPBELL,1727,1033.0,1978,38,622,517.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/711-Duncanville-Ct-95008/home/1452392,MLSListings,ML81939589,N,Y,37.285795,-121.9368652,Attached Garage,2.0,Dining Area,Central Forced Air,Forced Air,Public Utilities,3.0,7,7,8,2.5,622.0,1075741.0,8118.0,83,Very bikeable,83,Very walkable,47,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 26 restaurants, 2 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 26, 2023",Price ChangedMLSListings #ML81939589,1075000.0,"Sep 10, 2023",Price ChangedMLSListings #ML81939589,1125000.0,"Aug 23, 2023",Listed (Active)MLSListings #ML81939589,1150000.0,https://www.redfin.com/CA/Campbell/711-Duncanville-Ct-95008/home/1452392,Washer/Dryer,Hardwood,,"Common Area Electricity, Decks, Exterior Painting, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Pools, Spa, or Tennis, Roof",,Windsor HOA,"Oct 22, 2017",Pending (Pending (Do Not Show))MLSListings #ML81672059,NA,"Oct 20, 2017",Relisted (Active)MLSListings #ML81672059,NA,"Sep 25, 2017",Listing RemovedMLSListings #ML81672059,NA,"Sep 16, 2017",Price ChangedMLSListings #ML81672059,889000.0,"Sep 13, 2017",Price ChangedMLSListings #ML81672059,899000.0,"Sep 13, 2017",Price ChangedMLSListings #ML81672059,889000.0,"Aug 17, 2017",Listed (Active)MLSListings #ML81672059,899000.0
MLS Listing,,Single Family Residential,208 Beethoven Ln,Los Gatos,CA,95032,2200000,4,2.5,LOS GATOS,2130,4443.0,2006,43,1033,138.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/208-Beethoven-Ln-95032/home/2124206,MLSListings,ML81939147,N,Y,37.2573328,-121.9530418,Attached Garage,2.0,"Dining Area, Dining Area in Living Room",Central Forced Air,Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters, Public Utilities",2.0,7,7,8,2.5,1033.0,,15693.0,58,Bikeable,54,Somewhat walkable,34,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 11 restaurants, 7 parksTransit27, 37, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Aug 25, 2023",Relisted (Active)MLSListings #ML81939147,NA,"Aug 25, 2023",Price ChangedMLSListings #ML81939147,2200000.0,"Aug 24, 2023",ContingentMLSListings #ML81939147,NA,https://www.redfin.com/CA/Los-Gatos/208-Beethoven-Ln-95032/home/2124206,"Dryer, Inside, Washer","Carpet, Hardwood, Tile","Double Sinks, Half on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s)), Shower Over Tub, Tile","Maintenance (Common Area), Management Fee",,The Classics at Kilmer Park Mgmt Assn,"Aug 18, 2023",Listed (Active)MLSListings #ML81939147,1989000.0,"Oct 29, 2021",Pending (Pending (Do Not Show))MLSListings #ML81860700,NA,"Oct 6, 2021",ContingentMLSListings #ML81860700,NA,"Sep 15, 2021",Listed (Active)MLSListings #ML81860700,1899888.0,,,,,,,,,
MLS Listing,,Single Family Residential,92 Sunnyside Ave,Campbell,CA,95008,2650000,4,4.0,CAMPBELL,2762,8693.0,1906,43,959,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/92-Sunnyside-Ave-95008/home/1127855,MLSListings,ML81937095,N,Y,37.2826807,-121.9481789,Detached,2.0,Dining Area in Living Room,Central Forced Air,Central Forced Air,Public Utilities,2.0,6,NA,6,2.5,959.0,2598676.0,18737.0,83,Very bikeable,90,Walker's paradise,51,Good transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 27 restaurants, 2 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Aug 18, 2023",Listed (Active)MLSListings #ML81938999,2650000.0,"Aug 18, 2023",Listed (Active)MLSListings #ML81937095,2650000.0,,,,https://www.redfin.com/CA/Campbell/92-Sunnyside-Ave-95008/home/1127855,"In Utility Room, Inside, Washer/Dryer","Laminate, Tile","Primary (Stall Shower(s)), Shower Over Tub, 2+ Stall Shower",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,347 W Rincon Ave Unit A,Campbell,CA,95008,1350000,3,2.5,CAMPBELL,1665,1176.0,1981,44,811,626.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Campbell/347-W-Rincon-Ave-95008/unit-A/home/1766420,MLSListings,ML81938181,N,Y,37.2855458,-121.9559098,"Attached Garage, Gate/Door Opener, Parking Area",2.0,"Breakfast Bar, Dining ""L""",Central Forced Air,Central Forced Air,Public Utilities,2.0,6,NA,8,2.5,811.0,1337538.0,10171.0,65,Bikeable,69,Somewhat walkable,47,Some transit,Severe,Minimal,Moderate,Minimal,"Places2 groceries, 16 restaurants, 3 parksTransit25, 26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Aug 17, 2023",Listed (Active)MLSListings #ML81938181,1350000.0,"Jun 25, 2002",Listing RemovedMLSListings #ML80224510,NA,"May 17, 2002",ListedMLSListings #ML80224510,468000.0,https://www.redfin.com/CA/Campbell/347-W-Rincon-Ave-95008/unit-A/home/1766420,"In Utility Room, Washer/Dryer","Carpet, Laminate, Tile","Double Sinks, Half on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Tile, Updated Bath(s)","Exterior Painting, Fencing, Insurance (Common Area), Maintenance (Common Area), Pools, Spa, or Tennis, Recreation Facility, Roof",Monthly,Silvercreek Association Management,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1121 Longfellow Ave,Campbell,CA,95008,1695000,4,3.0,CAMPBELL,1727,9123.0,1955,48,981,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/1121-Longfellow-Ave-95008/home/756898,MLSListings,ML81937054,N,Y,37.2607347,-121.9516418,Attached Garage,2.0,Dining Area,Central Forced Air,Central Forced Air (Gas),Public Utilities,1.0,7,7,8,2.5,981.0,1738690.0,11985.0,72,Very bikeable,45,Car-dependent,34,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 19 restaurants, 5 parksTransit27, 37, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 26, 2023",Price ChangedMLSListings #ML81937054,1695000.0,"Aug 13, 2023",Listed (Active)MLSListings #ML81937054,1795000.0,"Nov 19, 2021",Pending (Pending (Do Not Show))MLSListings #ML81864680,NA,https://www.redfin.com/CA/Campbell/1121-Longfellow-Ave-95008/home/756898,,,,,,,"Nov 10, 2021",ContingentMLSListings #ML81864680,NA,"Nov 4, 2021",Price ChangedMLSListings #ML81864680,1480000.0,"Oct 12, 2021",Listed (Active)MLSListings #ML81864680,1680000.0,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,535 Valley Forge Way #1,Campbell,CA,95008,745000,2,1.0,CAMPBELL,840,,1964,71,887,400.0,Active,,,https://www.redfin.com/CA/Campbell/535-Valley-Forge-Way-95008/unit-1/home/17365637,MLSListings,ML81935797,N,Y,37.297613,-121.9597249,"Carport, Common Parking Area",,Dining Area,Other (See Remarks),Wall Furnace,Public Utilities,1.0,4,NA,8,2.5,887.0,734483.0,5668.0,77,Very bikeable,50,Somewhat walkable,37,Some transit,Moderate,Minimal,Moderate,Minimal,"Places9 groceries, 32 restaurants, 0 parksTransit25, 26, 27, 37, 56, 57, 60, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Jul 21, 2023",Listed (Active)MLSListings #ML81935797,745000.0,"Aug 2, 2010",Pending (Pending Without Release)MLSListings #ML81016988,NA,"Jul 1, 2010",Relisted (Active)MLSListings #ML81016988,NA,https://www.redfin.com/CA/Campbell/535-Valley-Forge-Way-95008/unit-1/home/17365637,In Utility Room,Laminate,"Double Sinks, Granite, Stall Shower, Tile","Common Area Gas, Maintenance (Common Area), Roof, Sewer, Water",,Valley Forge Homeowner Association,"Jun 27, 2010",Pending (Pending Without Release)MLSListings #ML81016988,NA,"May 14, 2010",Price ChangedMLSListings #ML81016988,259000.0,"Apr 8, 2010",Listed (Active)MLSListings #ML81016988,293000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1065 Fewtrell Dr,Campbell,CA,95008,2350000,5,5.0,CAMPBELL,2922,9384.0,1951,72,804,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Campbell/1065-Fewtrell-Dr-95008/home/1492423,MLSListings,ML81933409,N,Y,37.2880694,-121.9306227,"Attached Garage, Off-Street Parking, On Street",2.0,Breakfast Nook,Central Forced Air,"Central Forced Air (Gas), Fireplace","Natural Gas, Public Utilities",2.0,5,NA,6,2.5,804.0,2453259.0,16616.0,81,Very bikeable,86,Very walkable,47,Some transit,Minimal,Minimal,Moderate,Minimal,"Places1 grocery, 32 restaurants, 0 parksTransit26, 27, 37, 56, 60, 61, 64B, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Aug 31, 2023",Price ChangedMLSListings #ML81933409,2350000.0,"Jul 20, 2023",Listed (Active)MLSListings #ML81933409,2499000.0,,,,https://www.redfin.com/CA/Campbell/1065-Fewtrell-Dr-95008/home/1492423,"Electricity Hookup (220V), In Garage, Tub/Sink","Carpet, Laminate, Tile, Wood, Other (See Remarks)","Full on Ground Floor, Granite, Outside Access, Primary (Stall Shower(s)), 2+ Showers Over Tubs, Solid Surface, Stone, 2+ Tubs",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Mobile/Manufactured Home,171 Quail Hollow Dr #171,San Jose,CA,95128,319497,2,2.0,SAN JOSE,1296,,1974,81,247,,Active,October-1-2023 02:00 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/San-Jose/171-Quail-Hollow-Dr-95128/unit-171/home/21856096,MLSListings,ML81931179,N,Y,37.2965937,-121.9343842,"Carport, Guest/Visitor Parking, Tandem Parking, Unassigned Spaces",,Formal Dining Room,Central Forced Air,Central Forced Air,Other (See Remarks),,6,NA,6,3.0,247.0,312846.0,2259.0,82,Very bikeable,56,Somewhat walkable,48,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 24 restaurants, 1 parkTransit25, 26, 56, 60, 61, 64B, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS, SCVMC, SCVMC Shuttle","Sep 11, 2023",Price ChangedMLSListings #ML81931179,319497.0,"Aug 31, 2023",Price ChangedMLSListings #ML81931179,330000.0,"Aug 17, 2023",Price ChangedMLSListings #ML81931179,335000.0,https://www.redfin.com/CA/San-Jose/171-Quail-Hollow-Dr-95128/unit-171/home/21856096,Washer/Dryer,"Carpet, Laminate, Tile, Vinyl/Linoleum","Shower and Tub, Stall Shower",,,,"Aug 9, 2023",Relisted (Active)MLSListings #ML81931179,NA,"Jul 22, 2023",ContingentMLSListings #ML81931179,NA,"Jul 11, 2023",Listed (Active)MLSListings #ML81931179,345000.0,"Jun 18, 2008",Listing RemovedMLSListings #ML80815929,NA,"Jun 17, 2008",ListedMLSListings #ML80815929,85000.0,,,,,,
MLS Listing,,Single Family Residential,111 Trailblazer Pl,Campbell,CA,95008,3980000,5,3.5,CAMPBELL,3994,9906.0,2023,89,996,,Active,,,https://www.redfin.com/CA/Campbell/111-Trailblazer-PL-95008/home/186005137,MLSListings,ML81933810,N,Y,37.272781179,-121.9756585,Attached Garage,2.0,Other (See Remarks),Other (See Remarks),Other (See Remarks),Public Utilities,2.0,6,NA,8,2.5,996.0,2715256.0,28141.0,56,Bikeable,10,Car-dependent,28,Some transit,Major,Moderate,Moderate,Minimal,"Places4 groceries, 22 restaurants, 5 parksTransit26, 27, 37, 56, 57, Express 101","Sep 7, 2023",Price ChangedMLSListings #ML81933810,3980000.0,"Jul 3, 2023",Listed (Active)MLSListings #ML81933810,2190000.0,,,,https://www.redfin.com/CA/Campbell/111-Trailblazer-PL-95008/home/186005137,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,615 Lisa Way,Campbell,CA,95008,1539000,3,2.0,CAMPBELL,1528,3807.0,1977,92,1007,,Active,October-1-2023 01:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Campbell/615-Lisa-Way-95008/home/1306829,MLSListings,ML81933109,N,Y,37.2966255,-121.9624417,"Attached Garage, Off-Street Parking, On Street",2.0,Dining Area,,Gas,Public Utilities,1.0,6,6,7,2.5,1007.0,1543734.0,10882.0,82,Very bikeable,71,Very walkable,34,Some transit,Major,Minimal,Moderate,Minimal,"Places8 groceries, 26 restaurants, 0 parksTransit25, 26, 27, 37, 56, 57, 60, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 23, 2023",Price ChangedMLSListings #ML81933109,1539000.0,"Jul 13, 2023",Price ChangedMLSListings #ML81933109,1549000.0,"Jun 30, 2023",Listed (Active)MLSListings #ML81933109,1599000.0,https://www.redfin.com/CA/Campbell/615-Lisa-Way-95008/home/1306829,"Inside, Washer, Washer/Dryer","Carpet, Hardwood, Tile","Double Sinks, Stall Shower, Tub, Updated Bath(s)",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1779 Hurst Ave,Campbell,CA,95008,1999999,3,2.0,Campbell,2128,9017.0,1967,100,940,,Active,September-30-2023 11:00 AM,September-30-2023 02:00 PM,https://www.redfin.com/CA/Campbell/1779-Hurst-Ave-95008/home/1454690,MetroList,223057332,N,Y,37.291465,-121.918452,,2.0,,Ceiling Fan(s),"Central, Gas",,1.0,5,NA,6,,940.0,1922420.0,14141.0,50,Bikeable,70,Very walkable,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 24 restaurants, 0 parksTransit25, 26, 56, 61, 64B, Event Green, Express 103, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS, School 256",,,,,,,,,,https://www.redfin.com/CA/Campbell/1779-Hurst-Ave-95008/home/1454690,,"Carpet, Linoleum, Wood",,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,105 Trailblazer Pl,Campbell,CA,95008,3140800,5,4.0,CAMPBELL,2848,6526.0,2023,114,1103,,Active,,,https://www.redfin.com/CA/Campbell/105-Trailblazer-PL-95008/home/185688537,MLSListings,ML81931147,N,Y,37.272352163,-121.9757389,Attached Garage,2.0,Other (See Remarks),Other (See Remarks),Other (See Remarks),Public Utilities,1.0,6,NA,8,2.5,1103.0,3057110.0,22207.0,58,Bikeable,23,Car-dependent,27,Some transit,Major,Moderate,Moderate,Minimal,"Places4 groceries, 22 restaurants, 5 parksTransit26, 27, 37, 56, 57, Express 101","Jul 4, 2023",Price ChangedMLSListings #ML81931147,3140800.0,"Jun 8, 2023",Listed (Active)MLSListings #ML81931147,3090800.0,,,,https://www.redfin.com/CA/Campbell/105-Trailblazer-PL-95008/home/185688537,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,103 Trailblazer Pl,Campbell,CA,95008,3130000,5,4.0,CAMPBELL,2848,6526.0,2023,121,1099,,Active,,,https://www.redfin.com/CA/Campbell/103-Trailblazer-PL-95008/home/185575107,MLSListings,ML81930352,N,Y,37.272281727,-121.9756209,Attached Garage,2.0,Other (See Remarks),Other (See Remarks),Other (See Remarks),Public Utilities,2.0,6,NA,8,2.5,1099.0,2635192.0,22131.0,58,Bikeable,23,Car-dependent,27,Some transit,Major,Moderate,Moderate,Minimal,"Places4 groceries, 22 restaurants, 5 parksTransit26, 27, 37, 56, 57, Express 101","Sep 7, 2023",Price ChangedMLSListings #ML81930352,3130000.0,"Jul 4, 2023",Price ChangedMLSListings #ML81930352,1740000.0,"Jun 1, 2023",Listed (Active)MLSListings #ML81930352,1690000.0,https://www.redfin.com/CA/Campbell/103-Trailblazer-PL-95008/home/185575107,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1445 Westmont Ave,Campbell,CA,95008,2930000,4,3.0,CAMPBELL,2682,6916.0,2023,121,1092,,Active,,,https://www.redfin.com/CA/Campbell/1445-Westmont-Ave-95008/home/1799770,MLSListings,ML81930348,N,Y,37.2719812,-121.9756432,Attached Garage,2.0,Other (See Remarks),Other (See Remarks),Other (See Remarks),Public Utilities,2.0,9,NA,8,2.5,1092.0,2691262.0,20717.0,58,Bikeable,23,Car-dependent,27,Some transit,Major,Moderate,Moderate,Minimal,"Places4 groceries, 23 restaurants, 5 parksTransit26, 27, 37, 56, 57, Express 101","Sep 7, 2023",Price ChangedMLSListings #ML81930348,2930000.0,"Jul 4, 2023",Price ChangedMLSListings #ML81930348,1540000.0,"Jun 1, 2023",Listed (Active)MLSListings #ML81930348,1490000.0,https://www.redfin.com/CA/Campbell/1445-Westmont-Ave-95008/home/1799770,,,,,,,"Jul 12, 2021",Pending (Pending (Do Not Show))MLSListings #ML81845463,NA,"May 24, 2021",Listed (Active)MLSListings #ML81845463,6888000.0,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,229 Budd Ave,Campbell,CA,95008,3985000,5,5.5,CAMPBELL,3427,11600.0,2023,122,1163,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Campbell/229-Budd-Ave-95008/home/755685,MLSListings,ML81919425,N,Y,37.2809212,-121.9539101,"Attached Garage, Guest/Visitor Parking, Parking Area",2.0,Dining Area in Living Room,"Central Forced Air, Multi-Zone","Heating (2+ Zones), Solar","Public Utilities, Solar Panels - Owned",2.0,6,NA,8,2.5,1163.0,3859639.0,28176.0,76,Very bikeable,79,Very walkable,48,Some transit,Moderate,Minor,Moderate,Minimal,"Places2 groceries, 17 restaurants, 4 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 4, 2023",Listed (Active)MLSListings #ML81940712,3985000.0,"Aug 16, 2023",Price ChangedMLSListings #ML81919425,3985000.0,"Jul 17, 2023",Price ChangedMLSListings #ML81919425,4250000.0,https://www.redfin.com/CA/Campbell/229-Budd-Ave-95008/home/755685,"Electricity Hookup (220V), In Utility Room",Hardwood,"Double Sinks, Shower and Tub",,,,"May 31, 2023",Listed (Active)MLSListings #ML81919425,4500000.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2068 Via Deste,San Jose,CA,95130,1850888,3,3.0,SAN JOSE,1620,6311.0,1960,212,1143,,Active,,,https://www.redfin.com/CA/Campbell/2068-Via-Deste-95008/home/569596,MLSListings,ML81920386,N,Y,37.2848739,-121.9677069,Attached Garage,2.0,Dining Area,,Central Forced Air,Public Utilities,1.0,8,6,8,2.5,1143.0,1837559.0,13087.0,58,Bikeable,57,Somewhat walkable,34,Some transit,Moderate,Minimal,Moderate,Minimal,"Places5 groceries, 25 restaurants, 3 parksTransit25, 26, 27, 37, 56, 57, 60, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Apr 28, 2023",Price ChangedMLSListings #ML81920386,1850888.0,"Mar 2, 2023",Listed (Active)MLSListings #ML81920386,1777777.0,,,,https://www.redfin.com/CA/Campbell/2068-Via-Deste-95008/home/569596,In Garage,Wood,Shower Over Tub,,,,,,,,,,,,,,,,,,,,,,,,
