SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,DINNING_DESC,LAUNDARY_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,FEES_INCLUDE,HOA_NAME,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,FLOORING_FEATURES,HOA_FEE_FREQ,NUM_STORIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,BATH_DESCRIPTION,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE
MLS Listing,,Single Family Residential,1030 Pizarro Ln,Foster City,CA,94404,2278000,4,3.0,FOSTER CITY,2360,4180.0,1974.0,17.0,965,743.0,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1030-Pizarro-Ln-94404/home/927655,MLSListings,ML81941690,N,Y,37.5529357,-122.2674109,"Attached Garage, Boat Dock, Common Parking Area, Gate/Door Opener",2.0,"Dining Area, Formal Dining Room","Dryer, Inside, Washer",,Central Forced Air,Public Utilities,"Common Area Electricity, Common Area Gas, Decks, Exterior Painting, Fencing, Insurance, Insurance (Common Area), Insurance (Hazard), Insurance (Homeowners), Insurance (Liability), Maintenance (Common Area), Maintenance (Exterior), Maintenance (Road), Management Fee, Pools, Spa, or Tennis, Reserves, Roof",Bayporte,9,8,7,2.5,965.0,2287881.0,16850.0,51,Bikeable,46,Car-dependent,Severe,Minimal,Minor,Minimal,"Places6 groceries, 13 restaurants, 13 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle, RLC Shuttle","Sep 13, 2023",Listed (Active)MLSListings #ML81941690,2278000.0,https://www.redfin.com/CA/Foster-City/1030-Pizarro-Ln-94404/home/927655,Hardwood,Monthly,2.0,,,,,,,,,,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Updated Bath(s)",,,,,,
MLS Listing,,Condo/Co-op,202 Calypso Ln,Foster City,CA,94404,1738000,2,2.5,FOSTER CITY,1692,,2023.0,20.0,1027,487.0,Active,,,https://www.redfin.com/CA/Foster-City/202-Calypso-Ln-94404/home/185350102,MLSListings,ML81941436,N,Y,37.5644614,-122.2686039,Attached Garage,2.0,Dining Area,,Central Forced Air,Central Forced Air,"Individual Electric Meters, Individual Gas Meters","Insurance (Hazard), Landscaping/Gardening, Maintenance (Exterior)",Helsing Group,8,8,7,2.5,1027.0,1714289.0,12776.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 10, 2023",Listed (Active)MLSListings #ML81941436,1738000.0,https://www.redfin.com/CA/Foster-City/202-Calypso-Ln-94404/home/185350102,,Monthly,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,204 Calypso Ln,Foster City,CA,94404,1398000,1,1.5,FOSTER CITY,1436,,2023.0,20.0,974,487.0,Active,,,https://www.redfin.com/CA/Foster-City/204-Calypso-Ln-94404/home/187413871,MLSListings,ML81941435,N,Y,37.5644614,-122.2686039,"Attached Garage, Tandem Parking",2.0,Dining Area,,Central Forced Air,Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters","Insurance (Hazard), Landscaping/Gardening, Maintenance (Exterior), Management Fee",Helsing Group,8,8,7,2.5,974.0,1378660.0,10372.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 10, 2023",Listed (Active)MLSListings #ML81941435,1398000.0,https://www.redfin.com/CA/Foster-City/204-Calypso-Ln-94404/home/187413871,,Monthly,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1111 Sprague Ln,Foster City,CA,94404,1348000,3,2.5,FOSTER CITY,1700,1925.0,1975.0,22.0,793,440.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1111-Sprague-Ln-94404/home/935865,MLSListings,ML81941208,N,Y,37.5480232,-122.2607644,"Attached Garage, Guest/Visitor Parking",2.0,Formal Dining Room,,,"Forced Air, Gas",Natural Gas,Exterior Painting,Harborside,9,8,7,3.0,793.0,,9971.0,67,Bikeable,37,Car-dependent,Severe,Minimal,Moderate,Minimal,"Places5 groceries, 14 restaurants, 17 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, M, MAR Shuttle, RLC Shuttle","Sep 26, 2023",Price ChangedMLSListings #ML81941208,1348000.0,https://www.redfin.com/CA/Foster-City/1111-Sprague-Ln-94404/home/935865,,Monthly,,"Sep 8, 2023",Listed (Active)MLSListings #ML81941208,1395000.0,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,108 Flying Cloud Isle,Foster City,CA,94404,2395500,2,2.0,FOSTER CITY,1940,7192.0,1965.0,23.0,1235,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/108-Flying-Cloud-Isle-94404/home/2002728,MLSListings,ML81941181,N,Y,37.5649642,-122.2648127,"Attached Garage, Gate/Door Opener, On Street, Parking Area",2.0,"Breakfast Bar, Formal Dining Room","Electricity Hookup (220V), In Utility Room, Washer/Dryer",,Central Forced Air (Gas),"Natural Gas, Public Utilities",,,9,8,7,2.5,1235.0,2395467.0,16938.0,49,Somewhat bikeable,64,Somewhat walkable,Severe,Minimal,Minor,Minimal,"Places3 groceries, 15 restaurants, 14 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 7, 2023",Listed (Active)MLSListings #ML81941181,2395500.0,https://www.redfin.com/CA/Foster-City/108-Flying-Cloud-Isle-94404/home/2002728,"Hardwood, Tile, Vinyl/Linoleum",,1.0,,,,,,,,,,"Marble, Primary (Stall Shower(s)), Shower Over Tub, Solid Surface, Tile",,,,,,
MLS Listing,,Condo/Co-op,4213 Admiralty Ln,Foster City,CA,94404,738000,2,1.5,FOSTER CITY,998,,1965.0,23.0,739,817.0,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/Foster-City/4213-Admiralty-Ln-94404/home/1912376,MLSListings,ML81941066,N,Y,37.561437,-122.267213,"Carport, Covered Parking, Electric Gate, Gate/Door Opener, Guest/Visitor Parking",1.0,Dining Area in Living Room,Community Facility,,Central Forced Air (Gas),Public Utilities,"Garbage, Gas, Hot Water, Maintenance (Common Area), Management Fee, Pools, Spa, or Tennis, Reserves, Roof, Unit Coverage Insurance, Water, Water/Sewer, Other (See Remarks)",The Admiralty,9,8,7,2.5,739.0,738544.0,6035.0,50,Bikeable,76,Very walkable,Major,NA,Minor,Minimal,"Places4 groceries, 17 restaurants, 12 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 7, 2023",Listed (Active)MLSListings #ML81941066,738000.0,https://www.redfin.com/CA/Foster-City/4213-Admiralty-Ln-94404/home/1912376,"Carpet, Laminate, Tile",,2.0,,,,,,,,,,"Half on Ground Floor, Shower and Tub, Tile, Tub",,,,,,
MLS Listing,,Townhouse,101 Cityhomes Ln,Foster City,CA,94404,1199999,2,2.0,Foster City,1230,946.0,1987.0,23.0,976,475.0,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/101-Cityhomes-Ln-94404/home/1352320,MetroList,423907397,N,Y,37.5562969,-122.2789125,,,,,None,Central,,,,8,8,7,,976.0,1189875.0,8960.0,64,Bikeable,74,Very walkable,Severe,Minimal,Minor,Minimal,"Places2 groceries, 24 restaurants, 7 parksTransit250, 251, 256, 54, 57, 59, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle",,,,https://www.redfin.com/CA/Foster-City/101-Cityhomes-Ln-94404/home/1352320,"Tile, Simulated Wood, Parquet, Carpet",,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,880 Meridian Bay Ln #318,Foster City,CA,94404,999999,2,2.0,FOSTER CITY,1350,,1998.0,26.0,741,818.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/880-Meridian-Bay-Ln-94404/unit-318/home/996307,MLSListings,ML81940690,N,Y,37.5548139,-122.278725,Assigned Spaces,2.0,Dining Area,Washer/Dryer,Central Forced Air,Central Forced Air,Individual Electric Meters,"Common Area Electricity, Exterior Painting, Fencing, Garbage, Hot Water, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Reserves, Roof, Water/Sewer",Meridian Bay Homeowners Association,8,NA,7,2.5,741.0,1000920.0,7889.0,68,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places2 groceries, 22 restaurants, 7 parksTransit250, 251, 256, 54, 57, 59, FCC Shuttle, FCX, HCC Shuttle, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 25, 2023",Price ChangedMLSListings #ML81940690,999999.0,https://www.redfin.com/CA/Foster-City/880-Meridian-Bay-Ln-94404/unit-318/home/996307,"Carpet, Travertine",Monthly,1.0,"Sep 4, 2023",Listed (Active)MLSListings #ML81940690,1095000.0,"May 23, 2005",Listing RemovedMLSListings #ML80520958,NA,"Apr 22, 2005",ListedMLSListings #ML80520958,683000.0,"Double Sinks, Primary (Stall Shower(s)), Shower and Tub",,,,,,
MLS Listing,,Condo/Co-op,705 Starfish Ln,Foster City,CA,94404,1848000,4,3.5,FOSTER CITY,2081,,2023.0,34.0,888,487.0,Active,,,https://www.redfin.com/CA/Foster-City/705-Starfish-Ln-94404/home/181321820,MLSListings,ML81940001,N,Y,37.5641016,-122.2697005,Attached Garage,2.0,Dining Area in Family Room,,Central Forced Air,"Central Forced Air, Central Forced Air (Gas)","Individual Electric Meters, Individual Gas Meters","Insurance (Hazard), Landscaping/Gardening, Maintenance (Exterior)",Helsing,8,8,7,2.5,888.0,1816023.0,13554.0,56,Bikeable,77,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 21 restaurants, 7 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Aug 27, 2023",Listed (Active)MLSListings #ML81940001,1848000.0,https://www.redfin.com/CA/Foster-City/705-Starfish-Ln-94404/home/181321820,,Monthly,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,301 Calypso Ln,Foster City,CA,94404,1888000,3,2.5,FOSTER CITY,1866,,2023.0,35.0,1012,487.0,Active,September-30-2023 11:00 AM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/301-Calypso-Ln-94404/home/183422678,MLSListings,ML81939972,N,Y,37.5642937,-122.2685848,Attached Garage,2.0,Dining Area in Family Room,,Central Forced Air,Central Forced Air,"Individual Electric Meters, Individual Gas Meters","Insurance (Common Area), Insurance (Liability), Landscaping/Gardening, Maintenance (Common Area), Management Fee, Roof",Helsing Group,8,8,7,2.5,1012.0,1852208.0,13836.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Aug 26, 2023",Listed (Active)MLSListings #ML81939972,1888000.0,https://www.redfin.com/CA/Foster-City/301-Calypso-Ln-94404/home/183422678,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,802 Norma Ln,Foster City,CA,94404,1074888,2,1.5,FOSTER CITY,1196,1500.0,1973.0,37.0,899,548.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/802-Norma-Ln-94404/home/2032992,MLSListings,ML81939667,N,Y,37.5485428,-122.273889,"Detached, Guest/Visitor Parking",2.0,Dining Area,"In Garage, Washer/Dryer",,Central Forced Air,Public Utilities,"Exterior Painting, Garbage, Maintenance (Common Area), Water/Sewer",Isle Cove Homeowners Association,9,8,7,2.5,899.0,1083079.0,8148.0,69,Bikeable,69,Somewhat walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 15 restaurants, 9 parksTransit250, 251, 256, 54, 57, 59, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Aug 24, 2023",Listed (Active)MLSListings #ML81939667,1074888.0,https://www.redfin.com/CA/Foster-City/802-Norma-Ln-94404/home/2032992,"Carpet, Tile",Monthly,2.0,,,,,,,,,,"Half on Ground Floor, Shower Over Tub, Updated Bath(s)",,,,,,
MLS Listing,,Condo/Co-op,333 Argonaut,Foster City,CA,94404,1598000,2,2.5,FOSTER CITY,1570,,2023.0,38.0,1018,487.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/333-Argonaut-Ln-94404/home/185274890,MLSListings,ML81939570,N,Y,37.5651621,-122.2685482,Attached Garage,2.0,Dining Area in Family Room,,Central Forced Air,Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters","Common Area Electricity, Exterior Painting, Insurance (Liability), Maintenance (Common Area), Maintenance (Exterior), Management Fee, Roof",Helsing Group,8,8,7,2.5,1018.0,1569203.0,11786.0,55,Bikeable,76,Very walkable,NA,NA,NA,NA,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Aug 23, 2023",Listed (Active)MLSListings #ML81939570,1598000.0,https://www.redfin.com/CA/Foster-City/333-Argonaut-Ln-94404/home/185274890,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,700 Promontory Point Ln #1308,Foster City,CA,94404,1330000,2,2.5,699 - Not Defined,2224,346066.0,1998.0,63.0,598,1000.0,Active,,,https://www.redfin.com/CA/Foster-City/700-Promontory-Point-Ln-94404/unit-1308/home/1595126,CRMLS,WS23130335,N,Y,37.5499668,-122.2834683,,2.0,,,,,,,,8,8,7,2.5,598.0,1287003.0,10404.0,81,Very bikeable,63,Somewhat walkable,NA,NA,NA,NA,"Places2 groceries, 24 restaurants, 4 parksTransit250, 251, 256, 292, 294, 295, 397, 398, 53, 54, 57, 59, ECR, FCC Shuttle, FCX, HCC Shuttle, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 13, 2023",Price ChangedCRMLS #WS23130335,1330000.0,https://www.redfin.com/CA/Foster-City/700-Promontory-Point-Ln-94404/unit-1308/home/1595126,,,1.0,"Aug 22, 2023",Relisted (Active)CRMLS #WS23130335,NA,"Jul 18, 2023",Listed (Active)CRMLS #WS23130335,1390000.0,"Dec 1, 2013",Pending (Pending (Do Not Show))MLSListings #ML81336012,NA,,"Oct 7, 2013",Pending (Pending Without Release)MLSListings #ML81336012,NA,"Sep 29, 2013",Listed (Active)MLSListings #ML81336012,829000.0
MLS Listing,,Townhouse,102 Cityhomes Ln,Foster City,CA,94404,1299000,2,2.5,FOSTER CITY,1530,920.0,1987.0,80.0,849,475.0,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/102-Cityhomes-Ln-94404/home/1644970,MLSListings,ML81934776,N,Y,37.5562414,-122.2789063,"Attached Garage, Guest/Visitor Parking",2.0,Formal Dining Room,Washer/Dryer,,Central Forced Air (Gas),Public Utilities,"Common Area Electricity, Common Area Gas, Exterior Painting, Insurance (Common Area), Insurance (Earthquake), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Reserves, Roof, Other (See Remarks)",Cityhomes West,8,8,7,2.5,849.0,1273864.0,9660.0,68,Bikeable,76,Very walkable,Severe,Minimal,Minor,Minimal,"Places2 groceries, 24 restaurants, 7 parksTransit250, 251, 256, 54, 57, 59, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 5, 2023",Price ChangedMLSListings #ML81934776,1299000.0,https://www.redfin.com/CA/Foster-City/102-Cityhomes-Ln-94404/home/1644970,"Laminate, Tile",Monthly,2.0,"Aug 8, 2023",Price ChangedMLSListings #ML81934776,1328000.0,"Jul 12, 2023",Listed (Active)MLSListings #ML81934776,1348000.0,"Sep 1, 2015","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40712484",NA,"Double Sinks, Primary - Oversized Tub, Primary (Stall Shower(s)), Primary (Sunken Tub), Shower and Tub, Updated Bath(s)","Aug 21, 2015","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40712484",950000.0,,,
New Construction Plan,,Single Family Residential,Plan 7,Foster City,CA,94404,2218000,4,3.5,Laguna Vista,2239,,,,991,,Active,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-7/home/180327738,NewHomeSource.com,Plan-241962005,N,Y,37.563856,-122.268528,,,,,,,,,,8,8,7,,991.0,,15683.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle",,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-7/home/180327738,,,3.0,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Plan 6,Foster City,CA,94404,1638000,2,2.5,Laguna Vista,1692,,,,968,,Active,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-6/home/178522431,NewHomeSource.com,Plan-241962003,N,Y,37.563856,-122.268528,,,,,,,,,,8,8,7,,968.0,,11582.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle",,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-6/home/178522431,,,3.0,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Plan 5,Foster City,CA,94404,1388000,1,3.5,Laguna Vista,1436,,,,967,,Active,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-5/home/178779917,NewHomeSource.com,Plan-241962000,N,Y,37.5638548,-122.268522,,,,,,,,,,8,8,7,,967.0,,9814.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle",,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-5/home/178779917,,,3.0,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Plan 4,Foster City,CA,94404,1998000,4,3.5,Laguna Vista,2194,,,,911,,Active,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-4/home/178522432,NewHomeSource.com,Plan-241961997,N,Y,37.563856,-122.268528,,,,,,,,,,8,8,7,,911.0,,14127.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle",,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-4/home/178522432,,,3.0,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Plan 3,Foster City,CA,94404,1898000,4,3.5,Laguna Vista,2081,,,,912,,Active,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-3/home/178522433,NewHomeSource.com,Plan-241961995,N,Y,37.563856,-122.268528,,,,,,,,,,8,8,7,,912.0,,13420.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle",,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-3/home/178522433,,,3.0,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Plan 2,Foster City,CA,94404,1888000,3,2.5,Laguna Vista,1866,,,,1012,,Active,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-2/home/180327739,NewHomeSource.com,Plan-241961993,N,Y,37.563856,-122.268528,,,,,,,,,,8,8,7,,1012.0,,13349.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle",,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-2/home/180327739,,,3.0,,,,,,,,,,,,,,,,
New Construction Plan,,Single Family Residential,Plan 1,Foster City,CA,94404,1598000,2,2.5,Laguna Vista,1570,,,,1018,,Active,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-1/home/180327740,NewHomeSource.com,Plan-241961991,N,Y,37.563856,-122.268528,,,,,,,,,,8,8,7,,1018.0,,11299.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle",,,,https://www.redfin.com/CA/Foster-City/Laguna-Vista/Plan-1/home/180327740,,,3.0,,,,,,,,,,,,,,,,
