SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_PRICE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,FLOORING_FEATURES,COOLING_FEATURES,UTILITIES,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_PRICE,PRICE_HISTORY13_EVENT_DATE,PRICE_HISTORY13_PRICE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY13_EVENT_TYPE,PRICE_HISTORY14_EVENT_DATE,PRICE_HISTORY14_EVENT_TYPE,PRICE_HISTORY14_PRICE,PRICE_HISTORY15_EVENT_DATE,PRICE_HISTORY15_EVENT_TYPE,PRICE_HISTORY15_PRICE,PRICE_HISTORY16_EVENT_DATE,PRICE_HISTORY16_EVENT_TYPE,PRICE_HISTORY16_PRICE,PRICE_HISTORY17_EVENT_DATE,PRICE_HISTORY17_PRICE
MLS Listing,,Condo/Co-op,13045 Pacific Promenade #318,Playa Vista,CA,90094,1098000,2.0,2.0,C39 - Playa Vista,1160.0,71339.0,2007.0,40,947.0,847.0,Active,,,https://www.redfin.com/CA/Playa-Vista/13045-Pacific-Promenade-90094/unit-318/home/21916155,CRMLS,SB23156544,N,Y,33.9726666,-118.4248445,2.0,5.0,7,4,6,2.0,947.0,1082861.0,8611.0,84,Very bikeable,76,Very walkable,44,Some transit,Minimal,Minimal,Major,Minimal,"Places7 groceries, 21 restaurants, 8 parksTransit108, 110, 115, 16, 3, CC 4, CC 7, R3","Aug 22, 2023",Listed (Active)CRMLS #SB23156544,1098000.0,"Jun 10, 2023",Listing RemovedCRMLS #SB23039120,NA,"May 25, 2023",Relisted (Active)CRMLS #SB23039120,NA,https://www.redfin.com/CA/Playa-Vista/13045-Pacific-Promenade-90094/unit-318/home/21916155,"Mar 10, 2023",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1234 Wilshire Blvd #121,Los Angeles,CA,90017,549500,1.0,1.5,C42 - Downtown L.A.,1130.0,71332.0,2006.0,41,486.0,780.0,Active,,,https://www.redfin.com/CA/Los-Angeles/1234-Wilshire-Blvd-90017/unit-121/home/12291907,CRMLS,PW23154688,N,Y,34.053194,-118.265658,2.0,5.0,2,2,2,2.5,486.0,543920.0,4665.0,62,Bikeable,93,Walker's paradise,97,Rider's paradise,Minimal,Moderate,Major,Minimal,"Places3 groceries, 25 restaurants, 0 parksTransit16, 18, 20, 28, 460, 490, 493, 495, 498, 499, 51, 66, 699, 720, R10","Sep 27, 2023",Price ChangedCRMLS #PW23154688,549500.0,"Aug 21, 2023",Listed (Active)CRMLS #PW23154688,559000.0,"Feb 26, 2018",Pending (Pending Sale)CRMLS #WS18025906,NA,https://www.redfin.com/CA/Los-Angeles/1234-Wilshire-Blvd-90017/unit-121/home/12291907,"Feb 2, 2018",Listed (Active)CRMLS #WS18025906,549999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1525 N Hayworth Ave #302,Los Angeles,CA,90046,1249000,3.0,2.5,C03 - Sunset Strip - Hollywood Hills West,2140.0,21601.0,1959.0,47,584.0,800.0,Active,,,https://www.redfin.com/CA/Los-Angeles/1525-N-Hayworth-Ave-90046/unit-302/home/7116706,CRMLS,SB23143237,N,Y,34.0987217,-118.3632471,2.0,1.0,7,4,5,2.5,584.0,1229868.0,9631.0,55,Bikeable,94,Walker's paradise,53,Good transit,Moderate,Minimal,Major,Minimal,"Places4 groceries, 17 restaurants, 1 parkTransit10/48, 105, 16, 2, 212, 217, 218, 4","Sep 28, 2023",Price ChangedCRMLS #SB23143237,1249000.0,"Sep 6, 2023",Price ChangedCRMLS #SB23143237,1299000.0,"Aug 15, 2023",Listed (Active)CRMLS #SB23143237,1349000.0,https://www.redfin.com/CA/Los-Angeles/1525-N-Hayworth-Ave-90046/unit-302/home/7116706,"Jan 19, 2022",Contingent (Backup Offers Accepted)TheMLS #21-110981,NA,"Jan 5, 2022",Listed (Active)TheMLS #21-110981,1075000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,12701 Darla Ave,Granada Hills,CA,91344,1620000,6.0,3.5,GH - Granada Hills,2600.0,11235.0,1964.0,48,623.0,,Active,,,https://www.redfin.com/CA/Granada-Hills/12701-Darla-Ave-91344/home/5560122,CRMLS,BB23148813,N,Y,34.3013768,-118.5042553,2.0,1.0,6,8,5,2.5,623.0,1580144.0,11454.0,5,Somewhat bikeable,15,Car-dependent,26,Some transit,Minimal,Severe,Major,Minimal,"Places4 groceries, 18 restaurants, 6 parksTransit158, 224, 224/690, 236, 236/235, 237, 690","Sep 11, 2023",Price ChangedCRMLS #BB23148813,1620000.0,"Aug 14, 2023",Listed (Active)CRMLS #BB23148813,1699000.0,"Jun 28, 2014",Listing RemovedCRMLS #SR13243243,NA,https://www.redfin.com/CA/Granada-Hills/12701-Darla-Ave-91344/home/5560122,"May 16, 2014",Relisted (Active)CRMLS #SR13243243,NA,"Apr 30, 2014",Delisted (Hold)CRMLS #SR13243243,NA,"Dec 6, 2013",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1971 Rodney Dr #106,Los Feliz,CA,90027,825000,2.0,2.0,637 - Los Feliz,1323.0,15792.0,1974.0,52,624.0,485.0,Active,,,https://www.redfin.com/CA/Los-Angeles/1971-Rodney-Dr-90027/unit-106/home/7134558,CRMLS,BB23143259,N,Y,34.1074854,-118.289326,2.0,3.0,8,6,7,2.5,624.0,817376.0,6318.0,44,Somewhat bikeable,94,Walker's paradise,65,Good transit,Moderate,Severe,Major,Minimal,"Places4 groceries, 35 restaurants, 0 parksTransit180, 182, 2, 204, 206, 217, 754","Sep 15, 2023",Price ChangedCRMLS #BB23143259,825000.0,"Aug 10, 2023",Listed (Active)CRMLS #BB23143259,849000.0,,,,https://www.redfin.com/CA/Los-Angeles/1971-Rodney-Dr-90027/unit-106/home/7134558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1930 S Beverly Glen Blvd #306,Los Angeles,CA,90025,975000,2.0,3.0,C05 - Westwood - Century City,1418.0,17250.0,1984.0,52,688.0,615.0,Active,,,https://www.redfin.com/CA/Los-Angeles/1930-S-Beverly-Glen-Blvd-90025/unit-306/home/6798440,CRMLS,SB23148024,N,Y,34.0546345,-118.4227406,2.0,3.0,9,4,5,2.0,688.0,959729.0,7509.0,55,Bikeable,71,Very walkable,56,Good transit,Major,Minimal,Major,Minimal,"Places3 groceries, 41 restaurants, 0 parksTransit20, 28, 4, 5, 7, CC 3","Sep 22, 2023",Price ChangedCRMLS #SB23148024,975000.0,"Aug 10, 2023",Listed (Active)CRMLS #SB23148024,1000000.0,"Apr 23, 2019",Contingent (Backup Offers Accepted)TheMLS #19-453310,NA,https://www.redfin.com/CA/Los-Angeles/1930-S-Beverly-Glen-Blvd-90025/unit-306/home/6798440,"Apr 9, 2019",Listed (Active)TheMLS #19-453310,799000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,4239 Via Arbolada #210,Los Angeles,CA,90042,599000,2.0,2.0,676 - Monterey Hills,1023.0,162131.0,1982.0,52,586.0,676.0,Active,,,https://www.redfin.com/CA/Los-Angeles/4239-Via-Arbolada-90042/unit-210/home/6999079,CRMLS,PF23147414,N,Y,34.0964337,-118.188294,2.0,1.0,6,NA,5,2.5,586.0,598779.0,4911.0,31,Somewhat bikeable,5,Car-dependent,22,Minimal transit,Minimal,Moderate,Major,Minimal,"Places3 groceries, 28 restaurants, 7 parksTransit179, 182, 256, 665, 78, 81","Aug 10, 2023",Listed (Active)CRMLS #PF23147414,599000.0,"Jul 25, 2023",Listing RemovedCRMLS #PF23099453,NA,"Jun 9, 2023",,NA,https://www.redfin.com/CA/Los-Angeles/4239-Via-Arbolada-90042/unit-210/home/6999079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,5154 Faris Ln,Woodland Hills,CA,91364,2700000,,,WHLL - Woodland Hills,,31046.0,,65,,,Active,,,https://www.redfin.com/CA/Woodland-Hills/5154-Faris-LN-91364/home/185654561,CRMLS,BB23137770,N,Y,34.163712089,-118.6206169,,,7,7,NA,2.25,,,19091.0,29,Somewhat bikeable,60,Somewhat walkable,36,Some transit,Minimal,Moderate,Moderate,Minimal,"Places1 grocery, 21 restaurants, 1 parkTransit150, 161, 162, 164, 165, 169","Sep 22, 2023",Price ChangedCRMLS #BB23137770,2700000.0,"Jul 28, 2023",Listed (Active)CRMLS #BB23137770,3100000.0,,,,https://www.redfin.com/CA/Woodland-Hills/5154-Faris-LN-91364/home/185654561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,833 N Brannick Ave,Los Angeles,CA,90063,299999,,,BOYH - Boyle Heights,,10322.0,,65,,,Active,,,https://www.redfin.com/CA/Los-Angeles/833-N-Brannick-Ave-90063/home/22584754,CRMLS,PF23138880,N,Y,34.0461338,-118.1783012,,,4,5,2,2.0,,285557.0,2121.0,27,Somewhat bikeable,75,Very walkable,49,Some transit,Minimal,Moderate,Major,Minimal,"Places10 groceries, 33 restaurants, 2 parksTransit106, 258, 665, 70","Jul 28, 2023",Listed (Active)CRMLS #PF23138880,299999.0,"Oct 25, 2005",Listing RemovedCRMLS #R57242,NA,"Oct 10, 2005",,NA,https://www.redfin.com/CA/Los-Angeles/833-N-Brannick-Ave-90063/home/22584754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,1 Basil Ln,Bel Air,CA,90049,25000,,,C04 - Bel Air - Holmby Hills,,2556.0,,75,,,Active,,,https://www.redfin.com/CA/Bel-Air/1-Basil-LN-90049/home/184160341,CRMLS,SR23132650,N,Y,34.108929,-118.444382,,,9,6,5,2.0,,23678.0,177.0,2,Somewhat bikeable,7,Car-dependent,0,Minimal transit,Minimal,Moderate,Moderate,Minimal,"Places4 groceries, 19 restaurants, 18 parksTransit1, 155, 158, 17, 18, 2, 233, 240, 405, 602, 761, 8, CC 6, CC 6R, R12, Route 1","Jul 25, 2023",Price ChangedCRMLS #SR23132650,25000.0,"Jul 18, 2023",Listed (Active)CRMLS #SR23132650,29000.0,"Jul 6, 2023",Listing RemovedCRMLS #SR23020380,NA,https://www.redfin.com/CA/Bel-Air/1-Basil-LN-90049/home/184160341,"Apr 6, 2023",,NA,"Feb 6, 2023",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,4239 Via Arbolada #114,Los Angeles,CA,90042,605000,2.0,2.0,676 - Monterey Hills,1023.0,162131.0,1982.0,75,591.0,676.0,Active,,,https://www.redfin.com/CA/Los-Angeles/4239-Via-Arbolada-90042/unit-114/home/6999071,CRMLS,PF23132015,N,Y,34.0964337,-118.188294,2.0,1.0,6,NA,5,2.5,591.0,604608.0,4954.0,31,Somewhat bikeable,5,Car-dependent,22,Minimal transit,Minimal,Moderate,Major,Minimal,"Places3 groceries, 28 restaurants, 7 parksTransit179, 182, 256, 665, 78, 81","Jul 18, 2023",Listed (Active)CRMLS #PF23132015,605000.0,"Jul 13, 2023",Listing RemovedCRMLS #PF23101790,NA,"Jun 14, 2023",,NA,https://www.redfin.com/CA/Los-Angeles/4239-Via-Arbolada-90042/unit-114/home/6999071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,765 Mccarthy Vis,Los Angeles,CA,90048,2395000,3.0,2.5,Beverly Center-Miracle Mile,2629.0,9214.0,1933.0,76,911.0,,Active,,,https://www.redfin.com/CA/Los-Angeles/765-McCarthy-Vis-90048/home/6915570,TheMLS,23-291449,N,Y,34.06199718,-118.3673555,2.0,,7,6,4,2.5,911.0,2331510.0,16934.0,63,Bikeable,92,Walker's paradise,63,Good transit,Minimal,Minimal,Major,Minimal,"Places1 grocery, 29 restaurants, 0 parksTransit105, 14/37, 16, 20, 217, 218, 28, 7, 720, R7","Sep 14, 2023",Price ChangedTheMLS #23-291449,2395000.0,"Jul 17, 2023",Listed (Active)TheMLS #23-291449,2495000.0,"Jan 31, 2011",PendingTheMLS #11-501303,NA,https://www.redfin.com/CA/Los-Angeles/765-McCarthy-Vis-90048/home/6915570,"Jan 19, 2011",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,8025 Redlands St #1,Playa Del Rey,CA,90293,924000,4.0,2.5,C31 - Playa Del Rey,1428.0,34889.0,1970.0,79,647.0,390.0,Active,,,https://www.redfin.com/CA/Venice/8025-Redlands-St-90293/unit-1/home/6627200,CRMLS,SB23124425,N,Y,33.9580346,-118.4346953,2.0,2.0,5,4,4,2.0,647.0,913840.0,6923.0,55,Bikeable,66,Somewhat walkable,39,Some transit,Minimal,Minimal,Major,Minimal,"Places2 groceries, 26 restaurants, 4 parksTransit108, 110, 115, 16, 3, CC 4, CC 7, R3","Sep 19, 2023",Price ChangedCRMLS #SB23124425,924000.0,"Sep 4, 2023",Price ChangedCRMLS #SB23124425,938000.0,"Aug 15, 2023",Price ChangedCRMLS #SB23124425,948000.0,https://www.redfin.com/CA/Venice/8025-Redlands-St-90293/unit-1/home/6627200,"Jul 14, 2023",Listed (Active)CRMLS #SB23124425,958000.0,"Dec 14, 2016",Pending (Backup Offers Accepted)TheMLS #16-182264,NA,"Nov 22, 2016",662500.0,,,Listed (Active)TheMLS #16-182264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,611 Mildred Ave,Venice,CA,90291,2875000,4.0,3.5,C11 - Venice,2878.0,8001.0,1981.0,82,999.0,,Active,,,https://www.redfin.com/CA/Venice/611-Mildred-Ave-90291/home/6734972,CRMLS,SB23119283,N,Y,33.9872163,-118.4640185,2.0,2.0,8,6,6,2.5,999.0,2759038.0,20328.0,97,Biker's paradise,91,Walker's paradise,56,Good transit,Moderate,Minimal,Major,Minimal,"Places4 groceries, 28 restaurants, 1 parkTransit1, 108, 18, 3, 33, CC 1, CC 2, CC 5, R3","Aug 26, 2023",Price ChangedCRMLS #SB23119283,2875000.0,"Jul 11, 2023",Listed (Active)CRMLS #SB23119283,2900000.0,"Jul 14, 2016",PendingTheMLS #16-104574,NA,https://www.redfin.com/CA/Venice/611-Mildred-Ave-90291/home/6734972,"Jun 28, 2016",Pending (Backup Offers Accepted)TheMLS #16-104574,NA,"May 15, 2016",Pending (Backup Offers Accepted)TheMLS #16-104574,NA,"May 14, 2016",NA,"May 12, 2016",NA,Delisted (Hold)TheMLS #16-104574,Relisted (Active)TheMLS #16-104574,"May 2, 2016",Pending (Backup Offers Accepted)TheMLS #16-104574,NA,,,,"Apr 18, 2016",Listed (Active)TheMLS #16-104574,1695000.0,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1424 Brett Pl #252,San Pedro,CA,90732,489000,1.0,1.0,193 - San Pedro - North,864.0,176055.0,1987.0,100,566.0,595.0,Active,,,https://www.redfin.com/CA/San-Pedro/1424-Brett-Pl-90732/unit-252/home/7686718,CRMLS,SB23110287,N,Y,33.7572558,-118.306171,2.0,3.0,7,9,5,2.0,566.0,483005.0,4053.0,32,Somewhat bikeable,54,Somewhat walkable,33,Some transit,Minimal,Minimal,Moderate,Minimal,"Places6 groceries, 34 restaurants, 2 parksTransit205, 225, 246, 550, Green, Orange","Aug 5, 2023",Price ChangedCRMLS #SB23110287,489000.0,"Jun 23, 2023",Listed (Active)CRMLS #SB23110287,492000.0,"Jul 5, 2021",Pending (Pending Sale)CRMLS #OC21113580,NA,https://www.redfin.com/CA/San-Pedro/1424-Brett-Pl-90732/unit-252/home/7686718,"Jun 15, 2021",Contingent (Active Under Contract)CRMLS #OC21113580,NA,"Jun 10, 2021",Listed (Active)CRMLS #OC21113580,419000.0,"May 26, 2021",419000.0,,,Coming SoonCRMLS #OC21113580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2630 Cullen St,Los Angeles,CA,90034,1949000,6.0,3.0,C16 - Mid Los Angeles,3040.0,6000.0,1947.0,109,641.0,,Active,,,https://www.redfin.com/CA/Los-Angeles/2630-Cullen-St-90034/home/6901731,CRMLS,SB23102239,N,Y,34.033186,-118.3769469,,1.0,5,6,5,2.5,641.0,1876222.0,13781.0,82,Very bikeable,85,Very walkable,66,Good transit,Severe,Minimal,Major,Minimal,"Places3 groceries, 30 restaurants, 4 parksTransit105, 14/37, 17, 217, 33, 35/38, 617, CC 1, CC 1C1, CC 4, CC 5, CC 5C1, CC 7","Aug 17, 2023",Price ChangedCRMLS #SB23102239,1949000.0,"Jun 14, 2023",Listed (Active)CRMLS #SB23102239,1999999.0,"Jun 7, 2019",Listing RemovedTheMLS #19-475664,NA,https://www.redfin.com/CA/Los-Angeles/2630-Cullen-St-90034/home/6901731,"Jun 6, 2019",ListedTheMLS #19-475664,1199000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,4239 Via Arbolada #201,Los Angeles,CA,90042,585000,2.0,2.0,676 - Monterey Hills,1023.0,162131.0,1982.0,110,572.0,676.0,Active,,,https://www.redfin.com/CA/Los-Angeles/4239-Via-Arbolada-90042/unit-201/home/6999072,CRMLS,BB23102005,N,Y,34.0964337,-118.188294,2.0,3.0,6,NA,5,2.0,572.0,578345.0,4812.0,31,Somewhat bikeable,5,Car-dependent,22,Minimal transit,Minimal,Moderate,Major,Minimal,"Places3 groceries, 28 restaurants, 7 parksTransit179, 182, 256, 665, 78, 81","Aug 25, 2023",Price ChangedCRMLS #BB23102005,585000.0,"Jun 23, 2023",Price ChangedCRMLS #BB23102005,609000.0,"Jun 13, 2023",Listed (Active)CRMLS #BB23102005,579000.0,https://www.redfin.com/CA/Los-Angeles/4239-Via-Arbolada-90042/unit-201/home/6999072,"May 13, 2021",Pending (Pending Sale)CRMLS #P1-4133,NA,"Apr 22, 2021",Contingent (Active Under Contract)CRMLS #P1-4133,NA,"Apr 9, 2021",499000.0,,,Listed (Active)CRMLS #P1-4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,23705 Maidstone Pl,Harbor City,CA,90710,1148000,4.0,2.5,124 - Harbor City,2002.0,6102.0,1971.0,122,573.0,,Active,,,https://www.redfin.com/CA/Harbor-City/23705-Maidstone-Pl-90710/home/7682374,CRMLS,SB23092468,N,Y,33.8104735,-118.305714,2.0,1.0,5,6,5,2.0,573.0,,8117.0,52,Bikeable,61,Somewhat walkable,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 27 restaurants, 3 parksTransit2, 205, 550","Sep 15, 2023",Price ChangedCRMLS #SB23092468,1148000.0,"Jun 1, 2023",Listed (Active)CRMLS #SB23092468,1149000.0,"Feb 8, 2023",Listing RemovedCRMLS #OC23005013,NA,https://www.redfin.com/CA/Harbor-City/23705-Maidstone-Pl-90710/home/7682374,"Jan 11, 2023",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1900 Vine St #101,Los Angeles,CA,90068,624900,2.0,2.0,C20 - Hollywood,1204.0,47983.0,1980.0,145,519.0,594.0,Active,,,https://www.redfin.com/CA/Los-Angeles/1900-Vine-St-90068/unit-101/home/7130992,CRMLS,PF23080066,N,Y,34.1062544,-118.3263756,2.0,1.0,5,4,5,3.0,519.0,623980.0,5012.0,45,Somewhat bikeable,85,Very walkable,68,Good transit,Minimal,Severe,Major,Minimal,"Places1 grocery, 32 restaurants, 0 parksTransit180, 2, 207, 210, 212, 217, 222, 224, 224/690","Sep 20, 2023",Price ChangedCRMLS #PF23080066,624900.0,"Jul 13, 2023",Price ChangedCRMLS #PF23080066,635000.0,"May 9, 2023",Listed (Active)CRMLS #PF23080066,649000.0,https://www.redfin.com/CA/Los-Angeles/1900-Vine-St-90068/unit-101/home/7130992,"Jan 31, 2023",Listing RemovedCRMLS #BB22139903,NA,"Oct 17, 2022",,NA,"Jun 27, 2022",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),5348 W 57th St,Los Angeles,CA,90056,1799999,6.0,6.0,Ladera Heights,3966.0,7339.0,1955.0,1,454.0,,Active,,,https://www.redfin.com/CA/Los-Angeles/5348-W-57th-St-90056/home/6718789,TheMLS,22-164349,N,Y,33.9889686,-118.3748916,,,NA,NA,2,2.5,454.0,1705636.0,12727.0,37,Somewhat bikeable,54,Somewhat walkable,,,Minimal,Minimal,Major,Minimal,"Places3 groceries, 32 restaurants, 2 parksTransit102, 108, 110, 212, CC 2, CC 3, CC 5C2","Sep 8, 2023",Relisted (Active)TheMLS #22-164349,NA,"Aug 29, 2023",Relisted (Active)TheMLS #22-164349,NA,"Jun 1, 2023",Relisted (Active)TheMLS #22-164349,NA,https://www.redfin.com/CA/Los-Angeles/5348-W-57th-St-90056/home/6718789,"Sep 16, 2022",Listing RemovedTheMLS #22-164349,NA,"Sep 16, 2022",Listing RemovedTheMLS #22-164349,NA,"Sep 16, 2022",NA,"Aug 23, 2022",NA,Listing RemovedTheMLS #22-164349,Relisted (Active)TheMLS #22-164349,"Aug 17, 2022",Listing RemovedTheMLS #22-164349,NA,,,,"Aug 3, 2022",Price ChangedTheMLS #22-164349,2199999.0,"Jun 3, 2022",Listed (Active)TheMLS #22-164349,2499000.0,"Jan 29, 2022",Listing RemovedTheMLS #21-104593,NA,"Jan 7, 2022",NA,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,15050 Victory Blvd #103,Van Nuys,CA,91411,460000,2.0,2.0,East Van Nuys,1193.0,66280.0,1977.0,1,386.0,366.0,Active,,,https://www.redfin.com/CA/Van-Nuys/15050-Victory-Blvd-91411/unit-103/home/4662670,TheMLS,22-125715,N,Y,34.1864705,-118.4608954,,,3,4,6,2.0,386.0,,3618.0,66,Bikeable,78,Very walkable,57,Good transit,Minimal,Minimal,Major,Minimal,"Places4 groceries, 36 restaurants, 1 parkTransit154, 164, 165, 233, 234, 237, 761","Sep 5, 2023",Relisted (Active)TheMLS #22-125715,NA,"May 16, 2023",Listing RemovedTheMLS #22-125715,NA,"Mar 16, 2023",Relisted (Active)TheMLS #22-125715,NA,https://www.redfin.com/CA/Van-Nuys/15050-Victory-Blvd-91411/unit-103/home/4662670,"Mar 2, 2023",Relisted (Active)TheMLS #22-125715,NA,"May 25, 2022",Listing RemovedTheMLS #22-125715,NA,"Mar 22, 2022",460000.0,"Feb 7, 2022",420000.0,Price ChangedTheMLS #22-125715,Listed (Active)TheMLS #22-125715,"Nov 17, 2021",Listing RemovedTheMLS #21-798912,NA,,,,"Oct 25, 2021",,NA,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,11578 Iowa Ave #101,Los Angeles,CA,90025,1299000,3.0,3.5,West L.A.,1990.0,6476.0,2006.0,1,653.0,945.0,Active,October-3-2023 11:00 AM,October-3-2023 02:00 PM,https://www.redfin.com/CA/Los-Angeles/11578-Iowa-Ave-90025/unit-101/home/12286823,TheMLS,23-273459,N,Y,34.0423962,-118.4517904,2.0,,6,4,5,2.5,653.0,1281686.0,10130.0,82,Very bikeable,76,Very walkable,60,Good transit,Extreme,Minimal,Major,Minimal,"Places3 groceries, 39 restaurants, 3 parksTransit1, 14, 15, 17, 2, 20, 4, 5, 7, 720, CC 6, CC 6R, R10","Sep 29, 2023",Relisted (Active)TheMLS #23-273459,NA,"Sep 28, 2023",Relisted (Active)TheMLS #23-273459,NA,"Sep 27, 2023",Relisted (Active)TheMLS #23-273459,NA,https://www.redfin.com/CA/Los-Angeles/11578-Iowa-Ave-90025/unit-101/home/12286823,"Sep 27, 2023",Listing RemovedTheMLS #23-273459,NA,"Jul 24, 2023",Listing RemovedTheMLS #23-273459,NA,"Apr 4, 2013",NA,"Mar 12, 2013",NA,PendingTheMLS #13-646973,Pending (Backup Offers Accepted)TheMLS #13-646973,"Mar 5, 2013",Price ChangedTheMLS #13-646973,839000.0,,,,"Feb 25, 2013",Relisted (Active)TheMLS #13-646973,NA,"Feb 18, 2013",Pending (Backup Offers Accepted)TheMLS #13-646973,NA,"Jan 23, 2013",Listed (Active)TheMLS #13-646973,849000.0,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,17021 Lassen St,Northridge,CA,91325,1099900,4.0,3.0,NR - Northridge,2952.0,7877.0,1987.0,1,373.0,,Active,,,https://www.redfin.com/CA/Northridge/17021-Lassen-St-91325/home/5755096,CRMLS,SR23181879,N,Y,34.2505305,-118.5032062,2.0,2.0,6,6,5,2.0,373.0,,7777.0,40,Somewhat bikeable,62,Somewhat walkable,32,Some transit,Minimal,Moderate,Major,Minimal,"Places2 groceries, 32 restaurants, 1 parkTransit158, 166, 167, 236, 236/235, 237","Oct 1, 2023",Listed (Active)CRMLS #SR23181879,1099900.0,"Jun 28, 2023",Listing RemovedCRMLS #SR22147640,NA,"Jun 11, 2023",Relisted (Active)CRMLS #SR22147640,NA,https://www.redfin.com/CA/Northridge/17021-Lassen-St-91325/home/5755096,"May 20, 2023",Relisted (Active)CRMLS #SR22147640,NA,"May 3, 2023",Pending (Pending Sale)CRMLS #SR22147640,NA,"Apr 22, 2023",NA,"Apr 15, 2023",NA,Relisted (Active)CRMLS #SR22147640,Relisted (Active)CRMLS #SR22147640,"Sep 15, 2022",,NA,,,,"Jul 6, 2022",,NA,,,,,,,,,,,,,,,,,,,,,,,
