SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,DINNING_DESC,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,FEES_INCLUDE,HOA_NAME,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,HOA_FEE_FREQ,BATH_DESCRIPTION,LAUNDARY_FEATURES,FLOORING_FEATURES,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_PRICE,PRICE_HISTORY8_EVENT_TYPE
MLS Listing,,Single Family Residential,2530 Magnolia Way,Morgan Hill,CA,95037,1600000,5.0,3.0,MORGAN HILL,2806.0,7167.0,1997.0,1.0,570.0,165.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/2530-Magnolia-Way-95037/home/1270501,MLSListings,ML81941304,N,Y,37.1415678,-121.6087433,Attached Garage,2.0,Dining Area,Central Forced Air,Central Forced Air,Public Utilities,2.0,Other (See Remarks),Heritage Green,NA,5,5,3.0,570.0,1600075.0,11478.0,31,Somewhat bikeable,18,Car-dependent,0,Minimal transit,Minimal,Severe,Moderate,Minimal,"Places8 groceries, 21 restaurants, 5 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 30, 2023",Listed (Active)MLSListings #ML81941304,1600000.0,"Jan 27, 2017",Pending (Pending (Do Not Show))MLSListings #ML81628334,NA,"Dec 23, 2016",ContingentMLSListings #ML81628334,NA,"Oct 13, 2016",Listed (Active)MLSListings #ML81628334,1080888.0,https://www.redfin.com/CA/Morgan-Hill/2530-Magnolia-Way-95037/home/1270501,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,17097 Saint Brendan Loop,Morgan Hill,CA,95037,1299000,4.0,3.0,MORGAN HILL,1952.0,4870.0,2018.0,1.0,665.0,159.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/17097-Saint-Brendan-Loop-95037/home/167550765,MLSListings,ML81943606,N,Y,37.1329909,-121.6380027,"Attached Garage, Off-Site Parking, On Street",2.0,"Breakfast Bar, Dining Area, Eat in Kitchen",Central Forced Air,Central Forced Air (Gas),"Public Utilities, Solar Panels - Owned",2.0,"Insurance (Common Area), Maintenance (Common Area)",Madison Gate Community Association,6,5,8,2.5,665.0,1299224.0,9344.0,63,Bikeable,63,Somewhat walkable,28,Some transit,Minimal,Severe,Moderate,Minimal,"Places6 groceries, 30 restaurants, 3 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 29, 2023",Listed (Active)MLSListings #ML81943606,1299000.0,,,,,,,,,,https://www.redfin.com/CA/Morgan-Hill/17097-Saint-Brendan-Loop-95037/home/167550765,Monthly,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,136 La Crosse Dr Unit 2DGR,Morgan Hill,CA,95037,499000,1.0,1.0,MORGAN HILL,672.0,633.0,1984.0,1.0,743.0,413.0,Active,,,https://www.redfin.com/CA/Morgan-Hill/136-La-Crosse-Dr-95037/unit-2DGR/home/1136971,MLSListings,ML81943585,N,Y,37.109761,-121.64481,"Assigned Spaces, Carport, Covered Parking, Guest/Visitor Parking, On Street",,"Breakfast Bar, Breakfast Nook, Dining Area, Dining Area in Family Room, Eat in Kitchen, No Formal Dining Room",,"Central Forced Air (Gas), Fireplace","Individual Electric Meters, Individual Gas Meters, Public Utilities",1.0,"Insurance (Common Area), Insurance (Liability), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Pools, Spa, or Tennis",Park Place HOA,6,5,8,2.5,743.0,499452.0,3941.0,71,Very bikeable,70,Very walkable,35,Some transit,Minimal,Extreme,Moderate,Minimal,"Places2 groceries, 28 restaurants, 2 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 29, 2023",Listed (Active)MLSListings #ML81943585,499000.0,"Dec 13, 2016",Pending (Pending (Do Not Show))MLSListings #ML81630441,NA,"Nov 9, 2016",ContingentMLSListings #ML81630441,NA,"Nov 1, 2016",Listed (Active)MLSListings #ML81630441,359000.0,https://www.redfin.com/CA/Morgan-Hill/136-La-Crosse-Dr-95037/unit-2DGR/home/1136971,Monthly,"Stall Shower, Tile, Updated Bath(s)","Electricity Hookup (110V), Electricity Hookup (220V), Inside, Washer/Dryer","Hardwood, Tile",,,,,,,,,,,,,,,,
MLS Listing,,Mobile/Manufactured Home,275 Burnett Ave #171,Morgan Hill,CA,95037,279000,2.0,2.0,MORGAN HILL,1680.0,,1977.0,1.0,166.0,,Active,,,https://www.redfin.com/CA/Morgan-Hill/275-Burnett-Ave-95037/unit-171/home/1450763,MLSListings,ML81943482,N,Y,37.1577177,-121.6726083,Carport,,Other (See Remarks),Central Forced Air,Other (See Remarks),Public Utilities,1.0,,,4,5,8,2.5,166.0,277453.0,1973.0,55,Bikeable,12,Car-dependent,27,Some transit,Minimal,Extreme,Moderate,Minimal,"Places3 groceries, 30 restaurants, 1 parkTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 29, 2023",Listed (Active)MLSListings #ML81943482,279000.0,"Oct 25, 2002",Listing RemovedMLSListings #ML80250346,NA,"Sep 17, 2002",ListedMLSListings #ML80250346,120000.0,,,,https://www.redfin.com/CA/Morgan-Hill/275-Burnett-Ave-95037/unit-171/home/1450763,,"Stall Shower, Tub",Washer/Dryer,"Carpet, Other (See Remarks)",,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1331 Bodega Way,Morgan Hill,CA,95037,1318000,4.0,2.5,MORGAN HILL,1895.0,3545.0,2023.0,1.0,696.0,286.0,Active,,,https://www.redfin.com/CA/Morgan-Hill/1331-Bodega-Way-95037/home/167557984,MLSListings,ML81943519,N,Y,37.13318,-121.627212,"Attached Garage, Off-Street Parking",2.0,"Dining Area in Family Room, Eat in Kitchen, No Formal Dining Room",Central Forced Air,Central Forced Air,Public Utilities,,"Common Area Electricity, Insurance (Common Area), Maintenance (Common Area), Maintenance (Road)",Dunne Estates,6,5,5,1.14,696.0,1315768.0,9605.0,57,Bikeable,52,Somewhat walkable,0,Minimal transit,Minimal,Extreme,Moderate,Minimal,"Places7 groceries, 22 restaurants, 3 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 29, 2023",Listed (Active)MLSListings #ML81943519,1318000.0,,,,,,,,,,https://www.redfin.com/CA/Morgan-Hill/1331-Bodega-Way-95037/home/167557984,Monthly,"Double Sinks, Primary (Stall Shower(s)), 2+ Showers Over Tubs","Hookup (Gas Dryer), In Utility Room, Inside","Carpet, Tile, Other (See Remarks)",,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,16900 Burgundy Ln,Morgan Hill,CA,95037,2178800,4.0,3.0,MORGAN HILL,2820.0,9000.0,2023.0,2.0,773.0,286.0,Active,,,https://www.redfin.com/CA/Morgan-Hill/16900-Burgandy-Ln-95037/home/167557990,MLSListings,ML81943518,N,Y,37.133337,-121.626523,"Attached Garage, Off-Street Parking",2.0,"Breakfast Bar, Eat in Kitchen, Formal Dining Room",Central Forced Air,Central Forced Air,Public Utilities,1.0,"Common Area Electricity, Insurance (Common Area), Maintenance (Common Area), Management Fee, Reserves",Dunne Estates,6,5,5,0.92,773.0,2174834.0,15691.0,59,Bikeable,53,Somewhat walkable,0,Minimal transit,Minimal,Extreme,Moderate,Minimal,"Places7 groceries, 21 restaurants, 4 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 28, 2023",Listed (Active)MLSListings #ML81943518,2178800.0,,,,,,,,,,https://www.redfin.com/CA/Morgan-Hill/16900-Burgandy-Ln-95037/home/167557990,Monthly,"Double Sinks, Primary - Oversized Tub, Primary (Stall Shower(s)), 2+ Showers Over Tubs","Electricity Hookup (220V), Hookup (Gas Dryer), In Utility Room, Inside, Tub/Sink","Carpet, Tile, Other (See Remarks)",,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,16711 Willow Creek Dr,Morgan Hill,CA,95037,1399999,4.0,2.5,MORGAN HILL,2576.0,7317.0,1978.0,2.0,543.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/16711-Willow-Creek-Dr-95037/home/558768,MLSListings,ML81940944,N,Y,37.1191019,-121.6572077,Attached Garage,3.0,Formal Dining Room,"Ceiling Fan, Central Forced Air, Multi-Zone",Central Forced Air,Public Utilities,2.0,,,4,5,8,2.5,543.0,1402573.0,9899.0,22,Somewhat bikeable,40,Car-dependent,33,Some transit,Minimal,Extreme,Moderate,Minimal,"Places5 groceries, 31 restaurants, 7 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 28, 2023",Listed (Active)MLSListings #ML81940944,1399999.0,"Apr 16, 1999",Listing RemovedMLSListings #ML89840844,NA,"Sep 2, 1998",ListedMLSListings #ML89840844,419000.0,,,,https://www.redfin.com/CA/Morgan-Hill/16711-Willow-Creek-Dr-95037/home/558768,,"Double Sinks, Half on Ground Floor, Shower Over Tub",Inside,"Carpet, Tile",,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,190 Huntington Ln,Morgan Hill,CA,95037,799999,3.0,3.5,MORGAN HILL,1673.0,890.0,2010.0,3.0,478.0,346.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/190-Huntington-Ln-95037/home/28486644,MLSListings,ML81943235,N,Y,37.131407,-121.650614,Attached Garage,2.0,Eat in Kitchen,"Ceiling Fan, Central Forced Air",Forced Air,"Individual Electric Meters, Individual Gas Meters, Public Utilities",3.0,"Common Area Electricity, Common Area Gas, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Maintenance (Unit Yard), Management Fee, Reserves, Roof",Huntington Square - South Valley PM,6,5,8,2.5,478.0,849467.0,6002.0,83,Very bikeable,84,Very walkable,39,Some transit,Minimal,Severe,Moderate,Minimal,"Places1 grocery, 38 restaurants, 3 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 27, 2023",Listed (Active)MLSListings #ML81943235,799999.0,"Feb 13, 2014",Pending (Pending (Do Not Show))MLSListings #ML81400014,NA,"Jan 13, 2014",Relisted (Active)MLSListings #ML81400014,NA,"Jan 2, 2014",Pending (Pending Without Release)MLSListings #ML81400014,NA,https://www.redfin.com/CA/Morgan-Hill/190-Huntington-Ln-95037/home/28486644,Monthly,"Double Sinks, Shower Over Tub, Stall Shower, Tile","In Garage, In Utility Room, Inside","Carpet, Hardwood, Tile","Jan 1, 2014",Listed (Active)MLSListings #ML81400014,490000.0,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,7900 Croy Rd Unit F,Morgan Hill,CA,95037,585000,4.0,2.0,MORGAN HILL,1000.0,642353.0,1980.0,3.0,585.0,,Active,,,https://www.redfin.com/CA/Morgan-Hill/7900-Croy-Rd-95037/unit-F/home/63849799,MLSListings,ML81943232,N,Y,37.0896464,-121.7912815,Off-Street Parking,,Dining Area,Other (See Remarks),Stove (Wood),Propane On Site,,,,5,5,8,2.5,585.0,589315.0,4136.0,,,0,Car-dependent,,,Minimal,Moderate,Minimal,Minimal,"Places10 groceries, 9 restaurants, 26 parksTransit68, 71, 72, 72W, 75, 83","Sep 27, 2023",Listed (Active)MLSListings #ML81943232,585000.0,"Feb 1, 2020",Listing RemovedSDMLS #301624430,NA,"Sep 2, 2019",,NA,,,,https://www.redfin.com/CA/Morgan-Hill/7900-Croy-Rd-95037/unit-F/home/63849799,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2810 Fountain Oaks Dr,Morgan Hill,CA,95037,1250000,4.0,2.0,MORGAN HILL,2028.0,15870.0,1977.0,4.0,616.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/2810-Fountain-Oaks-Dr-95037/home/1604623,MLSListings,ML81941756,N,Y,37.1391715,-121.6036394,"Detached, Gate/Door Opener",2.0,"Dining Area, Eat in Kitchen","Ceiling Fan, Other (See Remarks)","Central Forced Air, Gas",Public Utilities,1.0,,,NA,5,5,2.5,616.0,1246916.0,8838.0,11,Somewhat bikeable,15,Car-dependent,0,Minimal transit,Minimal,Severe,Moderate,Minimal,"Places8 groceries, 20 restaurants, 5 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 26, 2023",Listed (Active)MLSListings #ML81941756,1250000.0,,,,,,,,,,https://www.redfin.com/CA/Morgan-Hill/2810-Fountain-Oaks-Dr-95037/home/1604623,,,"In Utility Room, Inside, Tub/Sink","Carpet, Laminate",,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,17210 Quail Ct,Morgan Hill,CA,95037,2299000,5.0,4.0,MORGAN HILL,5055.0,28641.0,2004.0,4.0,455.0,88.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/17210-Quail-Ct-95037/home/1013415,MLSListings,ML81943190,N,Y,37.1514053,-121.6035725,"Attached Garage, Electric Gate, Guest/Visitor Parking, Room for Oversized Vehicle, Workshop in Garage",4.0,"Breakfast Nook, Formal Dining Room","Central Forced Air, Multi-Zone","Forced Air, Gas","Natural Gas, Public Utilities, Solar Panels - Leased",2.0,"Common Area Electricity, Electricity, Maintenance (Road)",Holiday Estates Maintenance Association,6,5,5,2.5,455.0,2288760.0,16343.0,8,Somewhat bikeable,1,Car-dependent,0,Minimal transit,Minimal,Severe,Moderate,Minimal,"Places7 groceries, 23 restaurants, 8 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 26, 2023",Listed (Active)MLSListings #ML81943190,2299000.0,"Nov 16, 2009",Pending (Pending Without Release)MLSListings #ML80951496,NA,"Oct 30, 2009",Listed (Active)MLSListings #ML80951496,899950.0,,,,https://www.redfin.com/CA/Morgan-Hill/17210-Quail-Ct-95037/home/1013415,Monthly,"Double Sinks, Full on Ground Floor, Granite, Primary (Stall Shower(s)), Primary (Tub w/ Jets), 2+ Stall Shower","In Utility Room, Tub/Sink","Carpet, Tile",,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,18835 Old Monterey Rd,Morgan Hill,CA,95037,1725000,4.0,3.5,MORGAN HILL,3130.0,6364.0,2015.0,4.0,551.0,115.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/18835-Old-Monterey-Rd-95037/home/112869191,MLSListings,ML81943120,N,Y,37.1468424,-121.6687916,"Attached Garage, Tandem Parking",3.0,"Breakfast Bar, Breakfast Nook, Formal Dining Room","Central Forced Air, Multi-Zone","Central Forced Air (Gas), Heating (2+ Zones)","Public Utilities, Solar Panels - Owned",2.0,"Maintenance (Common Area), Management Fee, Other (See Remarks)",Stonebridge Neighborhood Association,4,5,8,2.5,551.0,1723739.0,12312.0,56,Bikeable,21,Car-dependent,33,Some transit,Minimal,Extreme,Moderate,Minimal,"Places3 groceries, 21 restaurants, 1 parkTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 25, 2023",Listed (Active)MLSListings #ML81943120,1725000.0,,,,,,,,,,https://www.redfin.com/CA/Morgan-Hill/18835-Old-Monterey-Rd-95037/home/112869191,Monthly,"Primary - Oversized Tub, Primary (Stall Shower(s)), 2+ Showers Over Tubs","Electricity Hookup (220V), Hookup (Gas Dryer), Inside, Upper Floor, Washer/Dryer","Carpet, Tile, Vinyl/Linoleum",,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,17685 Raccoon Ct,Morgan Hill,CA,95037,1449000,4.0,2.5,MORGAN HILL,2847.0,27600.0,1976.0,5.0,509.0,88.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/17685-Raccoon-Ct-95037/home/1032178,MLSListings,ML81943090,N,Y,37.1574932,-121.6127772,"Attached Garage, Electric Car Hookup, Gate/Door Opener",2.0,"Eat in Kitchen, Formal Dining Room","Central Forced Air, Window/Wall Unit",Central Forced Air,Public Utilities,2.0,"Maintenance (Common Area), Maintenance (Road)",Holiday Estates Maintenance Association,6,5,5,2.5,509.0,1457509.0,10333.0,8,Somewhat bikeable,0,Car-dependent,0,Minimal transit,Minimal,Major,Moderate,Minimal,"Places7 groceries, 28 restaurants, 7 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 25, 2023",Listed (Active)MLSListings #ML81943090,1449000.0,"Mar 2, 2004",Listing RemovedMLSListings #ML80366164,NA,"Dec 13, 2003",ListedMLSListings #ML80366164,699000.0,,,,https://www.redfin.com/CA/Morgan-Hill/17685-Raccoon-Ct-95037/home/1032178,Annually,"Double Sinks, Full on Ground Floor, Granite, Primary (Stall Shower(s)), Shower Over Tub, Tub in Master Bedroom","In Utility Room, Other (See Remarks)",Wood,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2250 Via Orista,Morgan Hill,CA,95037,2999999,5.0,5.5,MORGAN HILL,4477.0,16955.0,2019.0,5.0,670.0,375.0,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Morgan-Hill/2250-Via-Orista-95037/home/168907969,MLSListings,ML81940365,N,Y,37.1617489,-121.6356631,Attached Garage,3.0,"Breakfast Bar, Dining Area, Dining Area in Living Room, Dining Bar","Central Forced Air, Multi-Zone",Central Forced Air,Public Utilities,2.0,"Common Area Electricity, Common Area Gas, Insurance (Common Area), Maintenance (Common Area), Pools, Spa, or Tennis, Recreation Facility",Homeowners association Services,6,5,8,2.5,670.0,2978979.0,21587.0,34,Somewhat bikeable,0,Car-dependent,13,Minimal transit,Minimal,Severe,Moderate,Minimal,"Places6 groceries, 35 restaurants, 5 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 25, 2023",Listed (Active)MLSListings #ML81940365,2999999.0,,,,,,,,,,https://www.redfin.com/CA/Morgan-Hill/2250-Via-Orista-95037/home/168907969,Monthly,"Full on Ground Floor, Half on Ground Floor, Marble, Oversized Tub, Primary - Oversized Tub, Primary (Stall Shower(s))","In Utility Room, Upper Floor, Washer/Dryer","Hardwood, Tile",,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,13495 Sycamore Dr,Morgan Hill,CA,95037,2849000,5.0,3.5,MORGAN HILL,3894.0,40000.0,2009.0,6.0,732.0,,Active,,,https://www.redfin.com/CA/Morgan-Hill/13495-Sycamore-Dr-95037/home/171916167,MLSListings,ML81943006,N,Y,37.0682754,-121.6638018,"Attached Garage, Electric Car Hookup, Guest/Visitor Parking, Room for Oversized Vehicle",4.0,"Eat in Kitchen, Formal Dining Room","Ceiling Fan, Central Forced Air",Central Forced Air (Gas),"Propane On Site, Public Utilities, Solar - Hot Water Heater - Owned",2.0,,,6,5,5,2.5,732.0,2855427.0,20144.0,25,Somewhat bikeable,0,Car-dependent,,,Minimal,Severe,Moderate,Minimal,"Places3 groceries, 23 restaurants, 8 parksTransit68, 87, Express 121, L1, L2, L3, L4, L5, L6, Rapid 568, School 287","Sep 24, 2023",Listed (Active)MLSListings #ML81943006,2849000.0,"May 13, 2019",Pending (Pending (Do Not Show))MLSListings #ML81746255,NA,"Apr 30, 2019",ContingentMLSListings #ML81746255,NA,"Apr 9, 2019",Listed (Active)MLSListings #ML81746255,2289000.0,https://www.redfin.com/CA/Morgan-Hill/13495-Sycamore-Dr-95037/home/171916167,,"Double Sinks, Full on Ground Floor, Granite, Half on Ground Floor, Marble, Primary - Oversized Tub, Primary (Stall Shower(s)), Primary (Tub w/ Jets), 2+ Showers Over Tubs, Updated Bath(s)","Inside, Tub/Sink, Washer/Dryer","Carpet, Hardwood, Tile",,,,,,,,,,,,,,,,
