SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,NUM_STORIES,PARK_DESCRIPTION,DINNING_DESC,UTILITIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,BATH_DESCRIPTION,LAUNDARY_FEATURES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
MLS Listing,,Single Family Residential,36171 San Pedro Dr,Fremont,CA,94536,1299000,3.0,2.0,CABRILLO,1450,7339.0,1956.0,1.0,896,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Fremont/36171-San-Pedro-Dr-94536/home/1597604,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040721,N,Y,37.5545097,-122.0281827,2.0,Hardwood Flrs Throughout,Forced Air,Zoned,5,6,7,2.5,896.0,1195554.0,9185.0,39,Somewhat bikeable,42,Car-dependent,27,Some transit,Moderate,Minimal,Moderate,Minimal,"Places5 groceries, 26 restaurants, 8 parksTransit200, 210, 232, 251, 620, 621, 626, 628, 629, 801, 99, ACE, ACETrain, CC, SB, U","Oct 1, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040721",1299000.0,https://www.redfin.com/CA/Fremont/36171-San-Pedro-Dr-94536/home/1597604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,6104 Mayhews Landing Rd,Newark,CA,94560,960000,4.0,2.0,Newark,1383,8925.0,1953.0,2.0,694,,Active,,,https://www.redfin.com/CA/Newark/6104-Mayhews-Landing-Rd-94560/home/864356,MetroList,223094724,N,Y,37.5394704,-122.0351711,1.0,"Laminate, Tile",Wall Furnace,"Ceiling Fan(s), Wall Unit(s)",5,4,5,,694.0,999308.0,6788.0,51,Bikeable,78,Very walkable,,,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 23 restaurants, 5 parksTransit200, 232, 251, 620, 626, 628, 629, SB, U",,,,https://www.redfin.com/CA/Newark/6104-Mayhews-Landing-Rd-94560/home/864356,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,6437 Thomas Ave,Newark,CA,94560,985000,3.0,2.0,NEWARK,1458,5650.0,1959.0,3.0,676,,Active,,,https://www.redfin.com/CA/Newark/6437-Thomas-Ave-94560/home/1594837,MLSListings,ML81943517,N,Y,37.5307294,-122.0280571,2.0,,Wall Furnace,,NA,4,5,3.0,676.0,989003.0,6965.0,43,Somewhat bikeable,61,Somewhat walkable,,,Minimal,Minimal,Moderate,Minimal,"Places9 groceries, 21 restaurants, 4 parksTransit200, 212, 216, 232, 251, 620, 626, 628, 629, SB","Sep 28, 2023",Listed (Active)MLSListings #ML81943517,985000.0,https://www.redfin.com/CA/Newark/6437-Thomas-Ave-94560/home/1594837,1.0,Attached Garage,Dining Area in Living Room,Public Utilities,"Feb 23, 2004","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #30002188",NA,"Dec 6, 2003","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #30002188",392000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,7634 Thornton Ave,Newark,CA,94560,1279000,4.0,4.0,NEWARK,1667,6250.0,1900.0,3.0,767,,Active,October-1-2023 02:30 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/Newark/7634-Thornton-Ave-94560/home/1676246,MLSListings,ML81943440,N,Y,37.5288044,-122.0413313,1.0,"Tile, Vinyl/Linoleum",Central Forced Air,,3,4,5,2.5,767.0,1291537.0,9043.0,51,Bikeable,67,Somewhat walkable,,,Minimal,Minimal,Moderate,Minimal,"Places9 groceries, 19 restaurants, 7 parksTransit200, 232, 251, 620, 626, 628, 629, SB, U","Sep 28, 2023",Listed (Active)MLSListings #ML81943440,1279000.0,https://www.redfin.com/CA/Newark/7634-Thornton-Ave-94560/home/1676246,1.0,Detached,Formal Dining Room,Public Utilities,,,,,,,"Primary (Stall Shower(s)), Tile, Updated Bath(s)","Inside, Washer/Dryer",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,8220 Tanforan Ct,Newark,CA,94560,1898000,3.0,2.5,MAYHEW LANDING,2047,7408.0,1998.0,4.0,927,61.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/8220-Tanforan-Ct-94560/home/1312736,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040336,N,Y,37.5353349,-122.0589071,2.0,"Laminate, Linoleum, Tile, Carpet",Forced Air,"Ceiling Fan(s), Central Air",6,4,5,2.25,927.0,1920999.0,13481.0,43,Somewhat bikeable,32,Car-dependent,,,Minimal,Moderate,Moderate,Minimal,"Places3 groceries, 33 restaurants, 5 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040336",1898000.0,https://www.redfin.com/CA/Newark/8220-Tanforan-Ct-94560/home/1312736,,,,,"Oct 31, 2003","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #11211528",640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,39170 Ebbetts St,Newark,CA,94560,1198000,4.0,3.0,NEWARK,1781,4606.0,1978.0,5.0,673,,Active,,,https://www.redfin.com/CA/Newark/39170-Ebbetts-St-94560/home/1337663,MLSListings,ML81943198,N,Y,37.5204145,-122.0070439,2.0,,Central Forced Air,Other (See Remarks),NA,4,5,2.5,673.0,1212556.0,8471.0,58,Bikeable,83,Very walkable,,,Minimal,Moderate,Major,Minimal,"Places5 groceries, 46 restaurants, 2 parksTransit200, 212, 216, 232, 251, 620, 626, 628, 629, SB","Sep 26, 2023",Listed (Active)MLSListings #ML81943198,1198000.0,https://www.redfin.com/CA/Newark/39170-Ebbetts-St-94560/home/1337663,,Attached Garage,Formal Dining Room,Public Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,5282 Abbey Ct,Newark,CA,94560,1075000,3.0,2.0,Not Listed,1126,6000.0,1958.0,6.0,955,,Active,October-1-2023 12:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Newark/5282-Abbey-Ct-94560/home/1347569,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039393,N,Y,37.5440022,-122.0225266,2.0,Tile,"Forced Air, Natural Gas, Fireplace(s)",,6,4,5,2.25,955.0,1078973.0,7601.0,53,Bikeable,71,Very walkable,,,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 22 restaurants, 4 parksTransit200, 210, 232, 251, 620, 621, 625, 626, 628, 629, 801, 99, ACE, ACETrain, CC, SB, U","Sep 26, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039393",1075000.0,https://www.redfin.com/CA/Newark/5282-Abbey-Ct-94560/home/1347569,,,,"Water/Sewer Meter on Site, All Public Utilities, Cable Available, Natural Gas Connected, Master Electric Meter, Master Gas Meter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,5336 Ashbourne Ct,Newark,CA,94560,1789000,5.0,2.5,THE LAKE,2335,8100.0,1968.0,6.0,766,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/5336-Ashbourne-Ct-94560/home/858929,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040190,N,Y,37.5539654,-122.0421264,2.0,"Hardwood, Laminate, Vinyl, Carpet",Forced Air,Ceiling Fan(s),7,4,5,2.5,766.0,1790238.0,12649.0,54,Bikeable,52,Somewhat walkable,,,Minimal,Minor,Moderate,Minimal,"Places2 groceries, 40 restaurants, 3 parksTransit200, 210, 232, 251, 620, 621, 626, 628, 629, 801, 99, SB, U","Sep 25, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040190",1789000.0,https://www.redfin.com/CA/Newark/5336-Ashbourne-Ct-94560/home/858929,,,,,"Mar 17, 1998","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #10508375",385000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,6626 Thornton Ave,Newark,CA,94560,788888,2.0,1.0,CENTRAL NEWARK,1068,5718.0,1930.0,9.0,739,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/6626-Thornton-Ave-94560/home/1733006,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039222,N,Y,37.5321734,-122.0342338,,Hardwood,Central,Ceiling Fan(s),NA,4,5,2.5,739.0,831774.0,5578.0,53,Bikeable,75,Very walkable,,,Minimal,Minimal,Moderate,Minimal,"Places9 groceries, 22 restaurants, 5 parksTransit200, 232, 251, 620, 626, 628, 629, SB","Sep 22, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039222",788888.0,https://www.redfin.com/CA/Newark/6626-Thornton-Ave-94560/home/1733006,,,,,"Apr 18, 2018","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40815680",NA,"Mar 30, 2018","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40815680",615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,37551 Salt Grass Rd,Newark,CA,94560,1198888,4.0,3.0,BAYSHORES COMMUNITY,1974,435.0,2021.0,10.0,607,485.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/37551-Salt-Grass-Rd-94560/home/186130551,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039860,N,Y,37.5189301,-122.0550255,2.0,"Hardwood, Carpet",Forced Air,Central Air,3,4,5,2.5,607.0,1219491.0,8962.0,23,Somewhat bikeable,6,Car-dependent,,,Minimal,Minimal,Moderate,Minimal,"Places10 groceries, 18 restaurants, 9 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U","Sep 21, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039860",1198888.0,https://www.redfin.com/CA/Newark/37551-Salt-Grass-Rd-94560/home/186130551,,,,All Public Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,6378 Joaquin Murieta Ave Unit 368A,Newark,CA,94560,570000,2.0,1.0,NEWARK,905,,1982.0,11.0,630,540.0,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/6378-Joaquin-Murieta-Ave-94560/unit-368A/home/1888376,MLSListings,ML81942642,N,Y,37.5168468,-121.9991324,,"Carpet, Tile, Vinyl/Linoleum",Central Forced Air (Gas),,NA,4,5,2.5,630.0,568151.0,4570.0,48,Somewhat bikeable,56,Somewhat walkable,,,Minimal,Moderate,Major,Minimal,"Places3 groceries, 33 restaurants, 0 parksTransit200, 210, 212, 216, 232, 239, 251, 620, 623, 626, 628, 629, 801, 99, SB","Sep 20, 2023",Listed (Active)MLSListings #ML81942642,570000.0,https://www.redfin.com/CA/Newark/6378-Joaquin-Murieta-Ave-94560/unit-368A/home/1888376,2.0,"Assigned Spaces, Carport",Dining Area,Public Utilities,"Jun 2, 2009","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",NA,"May 29, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",179000.0,,,"Garbage, Insurance (Hazard), Maintenance (Common Area), Maintenance (Exterior), Management Fee, Reserves, Water/Sewer, Other (See Remarks)",Monthly,Newark Village HOA,"May 5, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",185000.0,"Apr 17, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",189000.0,"Jan 26, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",199000.0,"Jan 5, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",213000.0,"Dec 29, 2008","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",224000.0,"Dec 15, 2008","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",236000.0,"Dec 8, 2008","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",249000.0
MLS Listing,,Townhouse,37988 Luma Ter,Newark,CA,94560,1170000,3.0,3.0,NEWARK,1540,13501.0,2015.0,11.0,760,313.0,Active,October-1-2023 02:00 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Newark/37988-Luma-Ter-94560/home/108578031,MLSListings,ML81942590,N,Y,37.5360774,-122.015252,2.0,Laminate,Central Forced Air,"Central Forced Air, Multi-Zone",NA,4,5,2.5,760.0,1201293.0,8586.0,47,Somewhat bikeable,57,Somewhat walkable,,,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 23 restaurants, 3 parksTransit200, 210, 212, 216, 232, 251, 620, 621, 625, 626, 628, 629, 801, 99, SB","Sep 20, 2023",Listed (Active)MLSListings #ML81942590,1170000.0,https://www.redfin.com/CA/Newark/37988-Luma-Ter-94560/home/108578031,3.0,Attached Garage,Dining Area in Living Room,"Individual Electric Meters, Public Utilities",,,,,,,,,"Landscaping/Gardening, Maintenance (Common Area)",,Canopy at Timber,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (5+ Unit),36976 Mulberry St,Newark,CA,94560,3878000,,,Newark,7344,14615.0,1964.0,13.0,528,,Active,,,https://www.redfin.com/CA/Newark/36976-Mulberry-St-94560/home/1448608,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039512,N,Y,37.5323123,-122.0350442,,Engineered Wood,Wall Furnace,,5,4,5,2.5,528.0,,27420.0,52,Bikeable,74,Very walkable,,,Minimal,Minimal,Moderate,Minimal,"Places9 groceries, 22 restaurants, 5 parksTransit200, 232, 251, 620, 626, 628, 629, SB","Sep 18, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039512",3878000.0,https://www.redfin.com/CA/Newark/36976-Mulberry-St-94560/home/1448608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,38915 Sea Grass Pl,Newark,CA,94560,1220000,3.0,3.5,NEWARK,1652,1293.0,2018.0,18.0,738,251.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/38915-Sea-Grass-Pl-94560/home/112885664,MLSListings,ML81941708,N,Y,37.5290613,-122.0062091,2.0,,Forced Air,Central Forced Air,NA,4,5,2.5,738.0,1217745.0,8877.0,52,Bikeable,57,Somewhat walkable,,,Minimal,Moderate,Moderate,Minimal,"Places4 groceries, 45 restaurants, 2 parksTransit200, 210, 212, 216, 232, 251, 620, 625, 626, 628, 629, 801, 99, SB, U","Sep 28, 2023",Price ChangedMLSListings #ML81941708,1220000.0,https://www.redfin.com/CA/Newark/38915-Sea-Grass-Pl-94560/home/112885664,3.0,Attached Garage,Dining Area,Public Utilities,"Sep 13, 2023",Listed (Active)MLSListings #ML81941708,1180000.0,,,,,,"Exterior Painting, Garbage, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area)",,Prima Homeowners Association,,,,,,,,,,,,,,,,,,,,,
