SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,UTILITIES,Transit Score,Transit Score_type,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_PRICE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,NUM_STORIES,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE
MLS Listing,,Condo/Co-op,6946 Geyserville St,Dublin,CA,94568,945000,2.0,2.5,WALLISRANCH,1514,,2018.0,1.0,624,387.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Dublin/6946-Geyserville-St-94568/home/144897133,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040537,N,Y,37.7344078,-121.8724996,2.0,"Tile, Vinyl, Carpet",Zoned,Zoned,10,9,8,2.5,624.0,948165.0,7069.0,22,Somewhat bikeable,3,Car-dependent,Minimal,Extreme,Moderate,Minimal,"Places3 groceries, 26 restaurants, 13 parksTransit1, 10R, 150, 2, 3, 30R, 35, 501, 502, 503, 504, 54, 604, 605, 610, Route 6","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040537",945000.0,https://www.redfin.com/CA/Dublin/6946-Geyserville-St-94568/home/144897133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4504 Muirwood Dr,Pleasanton,CA,94588,1550000,4.0,2.0,HIGHLAND OAKS,2200,7040.0,1966.0,1.0,705,36.0,Active,,,https://www.redfin.com/CA/Pleasanton/4504-Muirwood-Dr-94588/home/1583307,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040669,N,Y,37.680943,-121.9170197,2.0,"Hardwood, Carpet, Engineered Wood",Forced Air,"Ceiling Fan(s), Central Air",8,8,9,2.5,705.0,1588307.0,10995.0,58,Bikeable,23,Car-dependent,Moderate,Severe,Moderate,Minimal,"Places6 groceries, 22 restaurants, 12 parksTransit14, 3, 30R, 503, 504, 53, 54, 602, 603, 604, 607, 609, 610, 8, Blue-N, Blue-S","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040669",1550000.0,https://www.redfin.com/CA/Pleasanton/4504-Muirwood-Dr-94588/home/1583307,All Public Utilities,21,Minimal transit,"Sep 14, 2023",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,218 Tomas Way,Pleasanton,CA,94566,1275000,3.0,2.0,OAK PARK,1588,3600.0,1984.0,1.0,803,65.0,Active,,,https://www.redfin.com/CA/Pleasanton/218-Tomas-Way-94566/home/1202314,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040629,N,Y,37.6500879,-121.8791862,2.0,Vinyl,Forced Air,Ceiling Fan(s),7,8,9,2.5,803.0,1278273.0,9080.0,53,Bikeable,71,Very walkable,Minimal,Extreme,Moderate,Minimal,"Places3 groceries, 26 restaurants, 6 parksTransit10R, 53, 54, 601, 602, 605, 606, 607, 608, 609, 611, 8, 92X, ACE, ACETrain","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040629",1275000.0,https://www.redfin.com/CA/Pleasanton/218-Tomas-Way-94566/home/1202314,All Public Utilities,29,Some transit,"May 29, 1997",238500.0,"ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #10595086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4435 Arbutus Ct,Pleasanton,CA,94588,1698888,4.0,2.5,OAK HILLS,1948,5557.0,1973.0,1.0,872,48.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Pleasanton/4435-Arbutus-Ct-94588/home/1169787,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040312,N,Y,37.6741666,-121.9200019,2.0,"Linoleum, Tile, Carpet",Forced Air,Central Air,8,8,9,2.5,872.0,1691799.0,12060.0,32,Somewhat bikeable,19,Car-dependent,Minimal,Severe,Moderate,Minimal,"Places5 groceries, 26 restaurants, 14 parksTransit14, 3, 53, 54, 602, 603, 604, 607, 609, 610, 8","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040312",1698888.0,https://www.redfin.com/CA/Pleasanton/4435-Arbutus-Ct-94588/home/1169787,"All Public Utilities, Individual Electric Meter, Individual Gas Meter",15,Minimal transit,"Jul 6, 2023",NA,"PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #41031042","Jun 22, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41031042",1499000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,2398 Bay Meadows Cir,Pleasanton,CA,94566,1249000,3.0,2.0,NORTHWAY DOWNS,1421,4120.0,1979.0,2.0,879,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Pleasanton/2398-Bay-Meadows-Cir-94566/home/1217763,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040359,N,Y,37.6760634,-121.8920331,2.0,"Tile, Carpet","Forced Air, Heat Pump","Ceiling Fan(s), Central Air",9,8,9,2.5,879.0,1309591.0,8831.0,73,Very bikeable,68,Somewhat walkable,Moderate,Minor,Moderate,Minimal,"Places2 groceries, 18 restaurants, 8 parksTransit10R, 14, 3, 54, 602, 603, 604, 605, 607, 608, 609, 610, 8, 92X","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040359",1249000.0,https://www.redfin.com/CA/Pleasanton/2398-Bay-Meadows-Cir-94566/home/1217763,"All Electric, All Public Utilities, Natural Gas Available",22,Minimal transit,"Feb 2, 1998",229950.0,"ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #10506486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1554 Calle Santiago,Pleasanton,CA,94566,825000,2.0,2.0,PARK VILLAS,941,2008.0,1971.0,2.0,877,460.0,Active,,,https://www.redfin.com/CA/Pleasanton/1554-Calle-Santiago-94566/home/675659,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040459,N,Y,37.6685816,-121.8866319,2.0,"Laminate, Tile, Bamboo",Forced Air,"Ceiling Fan(s), Central Air",9,8,9,2.5,877.0,854594.0,6293.0,74,Very bikeable,38,Car-dependent,Minimal,Moderate,Moderate,Minimal,"Places1 grocery, 19 restaurants, 9 parksTransit10R, 14, 53, 54, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611, 8, 92X, ACE, ACETrain","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040459",825000.0,https://www.redfin.com/CA/Pleasanton/1554-Calle-Santiago-94566/home/675659,"Cable Available, Individual Electric Meter",27,Some transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,6356 Inspiration Ter,Pleasanton,CA,94566,1849000,,,HAPPY VALLEY,36876,36876.0,,2.0,50,20.0,Active,,,https://www.redfin.com/CA/Pleasanton/6356-Inspiration-Ter-94566/home/12428123,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040449,N,Y,37.6279037,-121.8697366,,,,,7,8,9,2.5,50.0,1877011.0,13094.0,1,Somewhat bikeable,1,Car-dependent,Minimal,Severe,Moderate,Minimal,"Places2 groceries, 24 restaurants, 8 parksTransit10R, 53, 54, 601, 602, 605, 606, 607, 608, 609, 611, 8, 92X, ACE, ACETrain","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040449",1849000.0,https://www.redfin.com/CA/Pleasanton/6356-Inspiration-Ter-94566/home/12428123,Other On Site,0,Minimal transit,"Jun 2, 2019",NA,Listing RemovedSDMLS #301877164,"May 6, 2019",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3963 Fairlands Dr,Pleasanton,CA,94588,1549000,4.0,3.0,FAIRLANDS,2002,7649.0,1970.0,2.0,774,33.0,Active,October-1-2023 12:00 PM,October-1-2023 02:30 PM,https://www.redfin.com/CA/Pleasanton/3963-Fairlands-Dr-94588/home/1789665,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039962,N,Y,37.6991043,-121.8705955,2.0,"Laminate, Carpet",Forced Air,Central Air,8,8,9,2.5,774.0,,10985.0,66,Bikeable,76,Very walkable,Major,Moderate,Moderate,Minimal,"Places6 groceries, 34 restaurants, 1 parkTransit1, 10R, 14, 150, 2, 3, 30R, 501, 502, 504, 54, 604, 605, 608, 610","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039962",1549000.0,https://www.redfin.com/CA/Pleasanton/3963-Fairlands-Dr-94588/home/1789665,Sewer Connected,33,Some transit,"Mar 26, 2019",NA,"PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40856739","Mar 26, 2019","Relisted (Back On Market)bridgeMLS, Bay East AOR, or Contra Costa AOR #40856739",NA,"Mar 19, 2019","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40856739",NA,"Mar 14, 2019","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40856739",998000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4317 Chapman Way,Pleasanton,CA,94588,1410000,3.0,2.0,VALLE VISTA,1434,7000.0,1969.0,2.0,983,,Active,October-1-2023 12:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Pleasanton/4317-Chapman-Way-94588/home/1055732,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040415,N,Y,37.6866786,-121.9066635,2.0,"Hardwood, Tile, Carpet","Forced Air, Natural Gas","Ceiling Fan(s), Central Air",7,8,9,2.0,983.0,1418286.0,9970.0,78,Very bikeable,70,Very walkable,Severe,Moderate,Moderate,Minimal,"Places8 groceries, 24 restaurants, 8 parksTransit1, 100, 10R, 14, 2, 20X, 3, 30R, 335, 35, 503, 54, 580X, 602, 603, 604, 607, 609, 610, 636, 70X, 8, 90, 97X, Bart, Blue-N, Blue-S, C - Bart","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040415",1410000.0,https://www.redfin.com/CA/Pleasanton/4317-Chapman-Way-94588/home/1055732,Cable Available,31,Some transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4306 1st St,Pleasanton,CA,94566,1000000,3.0,2.0,DOWNTOWN,1271,7800.0,1890.0,3.0,787,,Active,,,https://www.redfin.com/CA/Pleasanton/4306-1st-St-94566/home/1676643,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040386,N,Y,37.6618413,-121.8710929,,Wood,Floor Furnace,,8,8,9,2.5,787.0,1047000.0,7071.0,59,Bikeable,93,Walker's paradise,Minimal,Extreme,Moderate,Minimal,"Places2 groceries, 21 restaurants, 3 parksTransit10R, 14, 53, 54, 601, 602, 605, 606, 608, 609, 611, 8, 92X, ACE, ACETrain","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040386",1000000.0,https://www.redfin.com/CA/Pleasanton/4306-1st-St-94566/home/1676643,,34,Some transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3260 Runnymede Ct,Pleasanton,CA,94588,1788800,4.0,3.0,PLEASANT MEADOWS,2002,7402.0,1971.0,3.0,894,33.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Pleasanton/3260-Runnymede-Ct-94588/home/1185927,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040198,N,Y,37.6952478,-121.8695587,2.0,,"Forced Air, Natural Gas",Central Air,8,8,9,2.5,894.0,1870908.0,12681.0,77,Very bikeable,68,Somewhat walkable,Moderate,Moderate,Moderate,Minimal,"Places6 groceries, 33 restaurants, 3 parksTransit1, 10R, 14, 150, 2, 3, 30R, 501, 502, 504, 54, 602, 604, 605, 608, 609, 610","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040198",1788800.0,https://www.redfin.com/CA/Pleasanton/3260-Runnymede-Ct-94588/home/1185927,"Irrigation Connected, All Public Utilities, Cable Available, Internet Available, Natural Gas Available",33,Some transit,"Jun 19, 2023",NA,"PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #41029610","Jun 13, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41029610",1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,4268 Lucero Ct,Pleasanton,CA,94588,1069888,3.0,2.5,SIENA,1503,1184.0,1994.0,8.0,712,279.0,Active,October-1-2023 12:00 PM,October-1-2023 02:00 PM,https://www.redfin.com/CA/Pleasanton/4268-Lucero-Ct-94588/home/1402599,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039943,N,Y,37.6959639,-121.892601,2.0,"Laminate, Tile, Carpet",Forced Air,Central Air,7,8,9,2.5,712.0,1094510.0,7844.0,75,Very bikeable,57,Somewhat walkable,Minimal,Moderate,Moderate,Minimal,"Places4 groceries, 22 restaurants, 1 parkTransit1, 100, 10R, 14, 150, 2, 20X, 3, 30R, 335, 35, 502, 503, 504, 54, 580X, 603, 604, 607, 609, 610, 636, 703, 70X, 8, 90, 97X, Bart, Blue-N, Blue-S, C - Bart, Route 6","Sep 22, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039943",1069888.0,https://www.redfin.com/CA/Pleasanton/4268-Lucero-Ct-94588/home/1402599,All Public Utilities,51,Good transit,"Mar 22, 2010",NA,"PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40454814","Mar 10, 2010","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40454814",480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2310 Meadowlark Dr,Pleasanton,CA,94566,1849999,4.0,3.0,WINDSOR,2033,5040.0,1994.0,9.0,910,145.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Pleasanton/2310-Meadowlark-Dr-94566/home/2006472,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039642,N,Y,37.6564298,-121.9048335,2.0,"Tile, Carpet, Engineered Wood",Forced Air,"Ceiling Fan(s), Central Air",8,8,9,2.5,910.0,1920066.0,13226.0,47,Somewhat bikeable,44,Car-dependent,Moderate,Extreme,Moderate,Minimal,"Places2 groceries, 24 restaurants, 14 parksTransit10R, 14, 53, 54, 601, 602, 603, 604, 606, 607, 608, 609, 610, 8, 92X, ACE, ACETrain","Sep 21, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039642",1849999.0,https://www.redfin.com/CA/Pleasanton/2310-Meadowlark-Dr-94566/home/2006472,"All Public Utilities, Cable Available, Internet Available",19,Minimal transit,"Dec 2, 2021",NA,"PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40974502","Nov 17, 2021","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40974502",1599000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,7285 Hickorywood Ln,Pleasanton,CA,94566,2525000,6.0,5.0,CARLTON OAKS,3547,6283.0,2004.0,9.0,712,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Pleasanton/7285-Hickorywood-Ln-94566/home/2110560,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039555,N,Y,37.6532917,-121.9007507,3.0,"Tile, Vinyl, Carpet",Zoned,Zoned,7,8,9,2.5,712.0,2540183.0,17853.0,63,Bikeable,20,Car-dependent,Minimal,Extreme,Moderate,Minimal,"Places2 groceries, 20 restaurants, 14 parksTransit10R, 14, 53, 54, 601, 602, 603, 604, 606, 607, 608, 609, 8, 92X, ACE, ACETrain","Sep 21, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039555",2525000.0,https://www.redfin.com/CA/Pleasanton/7285-Hickorywood-Ln-94566/home/2110560,,20,Minimal transit,"Oct 29, 2014",NA,"DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40672528","Sep 29, 2014","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40672528",NA,"Sep 3, 2014","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40672528",1299000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Mobile/Manufactured Home,3263 Vineyard Ave #58,Pleasanton,CA,94566,499000,3.0,2.0,VINEYARD ESTATES,1980,,,10.0,252,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Pleasanton/3263-Vineyard-Ave-94566/unit-58/home/17183640,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039724,N,Y,37.6649862,-121.851844,,"Tile, Vinyl, Carpet",Forced Air,Central Air,9,8,9,2.5,252.0,494348.0,3528.0,61,Bikeable,60,Somewhat walkable,NA,NA,NA,NA,"Places3 groceries, 11 restaurants, 8 parksTransit10R, 14, 53, 54, 601, 602, 604, 605, 606, 608, 610, 611, 8, 92X, ACE, ACETrain","Sep 20, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039724",499000.0,https://www.redfin.com/CA/Pleasanton/3263-Vineyard-Ave-94566/unit-58/home/17183640,,32,Some transit,"Jan 25, 1997",72500.0,"ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #10588832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
