SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HEATING_FEATURES,FLOORING_FEATURES,UTILITIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,url,HAS_GARAGE,COOLING_FEATURES,BUYER_AGENCY_COMPENSATION,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,NUM_STORIES,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_PRICE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY10_EVENT_TYPE
MLS Listing,,Single Family Residential,562 30th Ave,San Francisco,CA,94121,1849000,4.0,2.5,San Francisco,2169.0,2495.0,1941.0,12,852.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/562-30th-Ave-94121/home/610842,San Francisco MLS,423910481,N,Y,37.778638,-122.4897934,Central,"Laminate, Linoleum, Vinyl, Wood","Cable Available, Natural Gas Connected",8,8,7,852.0,1869808.0,13074.0,52,Bikeable,92,Walker's paradise,68,Good transit,Minimal,Moderate,Minor,Minimal,"Places5 groceries, 34 restaurants, 4 parksTransit1, 18, 29, 31, 38, 38R, 5, 5R","Sep 18, 2023",Relisted (Active)San Francisco MLS #423910481,NA,"Sep 18, 2023",Listed (Active)San Francisco MLS #423910481,1849000.0,https://www.redfin.com/CA/San-Francisco/562-30th-Ave-94121/home/610842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3028 Market St,San Francisco,CA,94114,1799000,3.0,2.0,,1705.0,1971.0,1890.0,15,1055.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/3028-Market-St-94114/home/1469904,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038948,N,Y,37.7612389,-122.441988,"Forced Air, Fireplace(s)","Hardwood Flrs Throughout, Laminate, Tile","All Public Utilities, Internet Available, Individual Electric Meter, Individual Gas Meter",8,2,NA,1055.0,1788099.0,12720.0,65,Bikeable,93,Walker's paradise,78,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places4 groceries, 24 restaurants, 19 parksTransit24, 33, 35, 37, 6, F, KBUS, KT, L-OWL, M, TBUS","Sep 26, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41038948",1799000.0,"Sep 15, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038948",1899000.0,https://www.redfin.com/CA/San-Francisco/3028-Market-St-94114/home/1469904,1.0,No Air Conditioning,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,990 Duncan St Unit 307G,San Francisco,CA,94131,649000,1.0,1.0,San Francisco,744.0,6993.0,1972.0,16,872.0,688.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/990-Duncan-St-94131/unit-307G/home/1681400,San Francisco MLS,423900428,N,Y,37.7453002,-122.4425216,Wall Furnace,"Carpet, Laminate","Cable Available, Internet Available",6,5,NA,872.0,646702.0,5277.0,63,Bikeable,63,Somewhat walkable,59,Good transit,Minimal,Minor,Minimal,Minimal,"Places7 groceries, 24 restaurants, 17 parksTransit24, 35, 36, 37, 44, 48, 52, KBUS, L-OWL","Oct 1, 2023",Relisted (Active)San Francisco MLS #423900428,NA,"Oct 1, 2023",DelistedSan Francisco MLS #423900428,NA,https://www.redfin.com/CA/San-Francisco/990-Duncan-St-94131/unit-307G/home/1681400,,None,,"Sep 14, 2023",Listed (Active)San Francisco MLS #423900428,649000.0,"Mar 5, 2007",DelistedSan Francisco MLS #319625,NA,"Feb 11, 2007",Price ChangedSan Francisco MLS #319625,505000.0,"Feb 8, 2007",ListedSan Francisco MLS #319625,500000.0,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,400 Beale St #612,San Francisco,CA,94105,978000,2.0,2.0,SAN FRANCISCO,1075.0,,2002.0,24,910.0,1092.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/400-Beale-St-94105/unit-612/home/868265,MLSListings,ML81940908,N,Y,37.7870715,-122.3909973,Central Forced Air,Wood,Public Utilities,5,3,NA,910.0,974406.0,8007.0,60,Bikeable,92,Walker's paradise,100,/100Rider's paradise,Major,NA,Minor,Minimal,"Places5 groceries, 16 restaurants, 6 parksTransit101, 114, 12, 130, 132, 150, 154, 172, 25, 38, 38R, 5, 5R, 7, 701, 702, 703, 704, 705, 706, 707, 714, B, C, CB, E, F, FS, G, H, J, KT, Lynx, M, N, N-OWL, NBUS, NL, NX, NX1, NX2, NX3, NX4, NXC, O, OX, P, TBUS, TC, V, W, Z","Sep 6, 2023",Listed (Active)MLSListings #ML81940908,978000.0,,,,https://www.redfin.com/CA/San-Francisco/400-Beale-St-94105/unit-612/home/868265,1.0,,2.5,,,,,,,,,,,,,"Assigned Spaces, Carport, Gate/Door Opener","Primary (Stall Shower(s)), Shower Over Tub, Updated Bath(s)",Dining Area,"Inside, Washer/Dryer","Exterior Painting, Garbage, Maintenance (Exterior), Management Fee",Monthly,Bridgeview Owners Association Assoc,,,,,,,,,,,,,
MLS Listing,,Vacant Land,666 Peralta Ave,San Francisco,CA,94110,750000,,,San Francisco,,1750.0,,36,,,Active,,,https://www.redfin.com/CA/San-Francisco/666-Peralta-Ave-94110/home/186420842,San Francisco MLS,423900078,N,Y,37.7419097,-122.4090035,,,,3,3,NA,,735678.0,5303.0,67,Bikeable,89,Very walkable,73,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places5 groceries, 48 restaurants, 4 parksTransit12, 23, 24, 27, 292, 33, 397, 44, 67, 8, 8AX, 9, 90, 9R","Aug 23, 2023",Listed (Active)San Francisco MLS #423900078,750000.0,,,,https://www.redfin.com/CA/San-Francisco/666-Peralta-Ave-94110/home/186420842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,50 Lansing St #805,San Francisco,CA,94105,1985000,2.0,2.5,San Francisco,1586.0,20082.0,2006.0,60,1252.0,1075.0,Active,,,https://www.redfin.com/CA/San-Francisco/50-Lansing-St-94105/unit-805/home/22886646,San Francisco MLS,423758554,N,Y,37.786127,-122.3942141,,,,5,3,NA,1252.0,1944964.0,15110.0,63,Bikeable,95,Walker's paradise,100,/100Rider's paradise,Minimal,NA,Minor,Minimal,"Places3 groceries, 20 restaurants, 5 parksTransit101, 114, 12, 130, 132, 150, 154, 172, 25, 38, 38R, 5, 5R, 7, 701, 704, 705, 714, 800, B, C, CB, F, FS, G, H, L, LA, Lynx, NL, NX, NX1, NX2, NX3, NX4, NXC, O, OX, P, Route 99, S, SB, SF, TC, V, W, Z","Aug 6, 2023",Price ChangedSan Francisco MLS #423758554,1985000.0,"Aug 1, 2023",Listed (Active)San Francisco MLS #423758554,2050000.0,https://www.redfin.com/CA/San-Francisco/50-Lansing-St-94105/unit-805/home/22886646,,,,"Feb 1, 2019",PendingSan Francisco MLS #480424,NA,"Jan 25, 2019",Listed (Active)San Francisco MLS #480424,1895000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1800 Bryant St #211,San Francisco,CA,94110,750000,1.0,2.0,San Francisco,955.0,14972.0,2000.0,68,785.0,596.0,Active,,,https://www.redfin.com/CA/San-Francisco/1800-Bryant-St-94110/unit-211/home/1169978,San Francisco MLS,423757271,N,Y,37.7641196,-122.4108749,,,,5,7,NA,785.0,754782.0,5899.0,89,Very bikeable,97,Walker's paradise,84,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places1 grocery, 23 restaurants, 2 parksTransit12, 14, 14R, 19, 22, 27, 292, 33, 397, 398, 49, 55, 714, 800, 9, 90, 9R, Blue-N, Blue-S, Green-N, Green-S, Red-N, Red-S, Yellow-N, Yellow-S","Sep 12, 2023",Price ChangedSan Francisco MLS #423757271,750000.0,"Aug 25, 2023",Price ChangedSan Francisco MLS #423757271,780000.0,https://www.redfin.com/CA/San-Francisco/1800-Bryant-St-94110/unit-211/home/1169978,,,,"Aug 8, 2023",Price ChangedSan Francisco MLS #423757271,850000.0,"Aug 2, 2023",Price ChangedSan Francisco MLS #423757271,924000.0,"Jul 24, 2023",Listed (Active)San Francisco MLS #423757271,924000.0,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,10 Innes Ct #307,San Francisco,CA,94124,650000,1.0,1.0,San Francisco,736.0,,2018.0,75,883.0,525.0,Active,,,https://www.redfin.com/CA/San-Francisco/10-Innes-Ct-94124/unit-307/home/161028244,San Francisco MLS,423755722,N,Y,37.7280682,-122.3679965,Central,"Tile, Wood",,2,4,4,883.0,647228.0,5121.0,23,Somewhat bikeable,37,Car-dependent,50,Good transit,Minimal,NA,Minor,Minimal,"Places6 groceries, 26 restaurants, 13 parksTransit15, 19, 23, 29, 44, 54, 91","Jul 17, 2023",Listed (Active)San Francisco MLS #423755722,650000.0,"Apr 9, 2019",PendingSan Francisco MLS #483111,NA,https://www.redfin.com/CA/San-Francisco/10-Innes-Ct-94124/unit-307/home/161028244,,Central,,"Apr 3, 2019",Listed (Active)San Francisco MLS #483111,699000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,4529 18th St,San Francisco,CA,94114,1198000,2.0,1.5,SAN FRANCISCO,1243.0,,1925.0,128,964.0,,Active,,,https://www.redfin.com/CA/San-Francisco/4529-18th-St-94114/home/1834338,MLSListings,ML81929658,N,Y,37.7604952,-122.4400951,Other (See Remarks),,Public Utilities,7,2,NA,964.0,1194580.0,8471.0,65,Bikeable,96,Walker's paradise,79,Excellent transit,NA,NA,NA,NA,"Places4 groceries, 24 restaurants, 13 parksTransit24, 33, 35, 37, F, KBUS, KT, L-OWL, M, TBUS","Aug 22, 2023",Price ChangedMLSListings #ML81929658,1198000.0,"Jul 5, 2023",Price ChangedMLSListings #ML81929658,1248000.0,https://www.redfin.com/CA/San-Francisco/4529-18th-St-94114/home/1834338,,,2.5,"May 25, 2023",Listed (Active)MLSListings #ML81929658,1298000.0,,,,,,,,,,Other,,Eat in Kitchen,,,,HoA,2.0,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,425 1st St #4306,San Francisco,CA,94105,1795000,2.0,2.0,San Francisco,1238.0,56024.0,2008.0,1,1450.0,1349.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-4306/home/17304825,San Francisco MLS,423748932,N,Y,37.7857131,-122.3922754,,,,5,3,NA,1450.0,1784774.0,14041.0,61,Bikeable,89,Very walkable,100,/100Rider's paradise,Minimal,NA,Minor,Minimal,"Places4 groceries, 17 restaurants, 8 parksTransit114, 12, 132, 154, 172, 25, 30, 38, 38R, 45, 5, 5R, 7, 701, 705, 714, 8, 8AX, 8BX, 91, B, C, CB, F, FS, G, H, KT, L, LA, Lynx, M, N, N-OWL, NBUS, NL, NX, NX1, NX2, NX3, NX4, NXC, O, OX, P, S, SB, TBUS, TC, V, W, Z","Sep 30, 2023",Listed (Active)San Francisco MLS #423748932,1795000.0,"Oct 23, 2012",PendingSan Francisco MLS #397694,NA,https://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-4306/home/17304825,,,,"Oct 16, 2012",DelistedSan Francisco MLS #397694,NA,"Jun 28, 2012",PendingSan Francisco MLS #397694,NA,"Jun 7, 2012",,NA,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,51 Innes Ct,San Francisco,CA,94124,1290000,5.0,2.0,San Francisco,1600.0,13880.0,2017.0,1,806.0,894.0,Active,,,https://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/home/145411020,San Francisco MLS,423905690,N,Y,37.7272117,-122.367848,,,,2,4,4,806.0,1289310.0,10015.0,31,Somewhat bikeable,32,Car-dependent,50,Good transit,Minimal,NA,Minor,Minimal,"Places6 groceries, 27 restaurants, 13 parksTransit15, 19, 23, 29, 44, 54, 91",,,,,,,https://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/home/145411020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),2557 - 2571 Filbert St,San Francisco,CA,94123,8750000,6.0,1.0,San Francisco,6713.0,8659.0,,1,1303.0,,Active,,,https://www.redfin.com/CA/San-Francisco/2557-Filbert-St-94123/home/1451738,San Francisco MLS,423913337,N,Y,37.7969974,-122.4416363,,,,5,8,NA,1303.0,,61868.0,64,Bikeable,96,Walker's paradise,71,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places3 groceries, 28 restaurants, 1 parkTransit1, 101, 114, 130, 132, 150, 154, 172, 22, 24, 28, 30, 43, 45, 91","Sep 30, 2023",Listed (Active)San Francisco MLS #423913337,8750000.0,"Sep 11, 2023",Listed (Active)San Francisco MLS #423907253,8750000.0,https://www.redfin.com/CA/San-Francisco/2557-Filbert-St-94123/home/1451738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (5+ Unit),601 - 609 Pennsylvania Ave,San Francisco,CA,94107,2998000,10.0,4.0,San Francisco,2840.0,,,1,1056.0,,Active,,,https://www.redfin.com/CA/San-Francisco/601-Pennsylvania-Ave-94107/home/1438865,BAREIS,423900205,N,Y,37.7588705,-122.3929889,"Varies By Unit, Gas, Floor Furnace, Fireplace Insert, Electric","Wood, Tile",,5,3,NA,1056.0,,21198.0,75,Very bikeable,91,Walker's paradise,70,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places2 groceries, 30 restaurants, 6 parksTransit15, 19, 22, 48, 55, 91, B7, CCA/Adobe, East, KT, L1, L2, L3, L4, L5, L6, TBUS, TC, West","Sep 30, 2023",Listed (Active)BAREIS #423900205,2998000.0,"Jun 16, 2023",,NA,https://www.redfin.com/CA/San-Francisco/601-Pennsylvania-Ave-94107/home/1438865,,"Varies By Unit, Ceiling Fan(s)",,"May 26, 2023",,NA,"May 2, 2023",,NA,"Mar 13, 2023",,NA,"Feb 23, 2023",,NA,,,,,,,,,"Jan 24, 2023",NA,"Jan 3, 2023",NA,"Dec 15, 2022",NA,"Nov 30, 2022",NA,,,,
MLS Listing,,Single Family Residential,1835 Wawona St,San Francisco,CA,94116,1200000,3.0,2.0,San Francisco,1338.0,3824.0,,1,897.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/1835-Wawona-St-94116/home/1494129,San Francisco MLS,423760664,N,Y,37.7367662,-122.4868577,"Central, Gas","Tile, Wood",Natural Gas Connected,8,6,7,897.0,1307593.0,8485.0,47,Somewhat bikeable,68,Somewhat walkable,59,Good transit,Minimal,Minor,Minimal,Minimal,"Places3 groceries, 23 restaurants, 5 parksTransit122, 18, 23, 28, 29, 48, 57, 58, 66, 91, L-OWL, LBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423760664,1200000.0,,,,https://www.redfin.com/CA/San-Francisco/1835-Wawona-St-94116/home/1494129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2287 47th Ave,San Francisco,CA,94116,1300000,2.0,1.0,SUNSET,1025.0,1625.0,1951.0,1,1268.0,,Active,,,https://www.redfin.com/CA/San-Francisco/2287-47th-Ave-94116/home/913242,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040681,N,Y,37.7439151,-122.5060458,Natural Gas,Carpet,,9,7,10,1268.0,1305761.0,9192.0,73,Very bikeable,59,Somewhat walkable,55,Good transit,Minimal,Minimal,Minor,Minimal,"Places4 groceries, 26 restaurants, 6 parksTransit18, 23, 29, 48, 58, 7, L-OWL, LBUS","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040681",1300000.0,,,,https://www.redfin.com/CA/San-Francisco/2287-47th-Ave-94116/home/913242,2.0,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1 Steuart Ln #705,San Francisco,CA,94105,1559000,1.0,1.0,San Francisco,863.0,20415.0,2021.0,1,1806.0,2263.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/1-Steuart-Ln-94105/unit-705/home/187766733,San Francisco MLS,423913513,N,Y,37.7916703,-122.391584,Central,Wood,,5,3,NA,1806.0,1556403.0,13286.0,80,Very bikeable,96,Walker's paradise,100,/100Rider's paradise,NA,NA,NA,NA,"Places3 groceries, 19 restaurants, 4 parksTransit101, 114, 12, 130, 132, 14, 14R, 150, 154, 172, 2, 25, 292, 38, 38R, 397, 398, 5, 5R, 6, 7, 701, 702, 703, 704, 705, 706, 707, 714, 9, 9R, E, F, FCX, HB, J, KBUS, KT, L-OWL, M, N, N-OWL, NBUS, NL, OA, P41, RCH, SEA, TBUS, TC, VJO, Z","Sep 29, 2023",Listed (Active)San Francisco MLS #423913513,1559000.0,,,,https://www.redfin.com/CA/San-Francisco/1-Steuart-Ln-94105/unit-705/home/187766733,,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),3542 24th St,San Francisco,CA,94110,1795000,5.0,2.0,San Francisco,3208.0,3436.0,1900.0,1,560.0,,Active,,,https://www.redfin.com/CA/San-Francisco/3542-24th-St-94110/home/1157498,San Francisco MLS,423913484,N,Y,37.7522676,-122.4223704,,,,1,2,2,560.0,,12692.0,91,Biker's paradise,99,Walker's paradise,84,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places4 groceries, 33 restaurants, 2 parksTransit12, 14, 14R, 24, 27, 33, 36, 48, 49, 67, 714, 800, Blue-N, Blue-S, Green-N, Green-S, J, Red-N, Red-S, Yellow-N, Yellow-S","Sep 29, 2023",Listed (Active)San Francisco MLS #423913484,1795000.0,"May 17, 2022",,NA,https://www.redfin.com/CA/San-Francisco/3542-24th-St-94110/home/1157498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,651 41st Ave,San Francisco,CA,94121,2675000,5.0,4.0,San Francisco,2345.0,2252.0,1923.0,1,1141.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/651-41st-Ave-94121/home/2003929,San Francisco MLS,423913188,N,Y,37.7764023,-122.5019344,Central,"Tile, Wood",Natural Gas Connected,9,8,7,1141.0,,18914.0,67,Bikeable,89,Very walkable,65,Good transit,Minimal,Moderate,Minor,Minimal,"Places6 groceries, 33 restaurants, 9 parksTransit1, 18, 29, 31, 38, 38R, 5, 5R","Sep 29, 2023",Listed (Active)San Francisco MLS #423913188,2675000.0,"Nov 18, 2020",PendingSan Francisco MLS #509817,NA,https://www.redfin.com/CA/San-Francisco/651-41st-Ave-94121/home/2003929,,None,,"Nov 13, 2020",Listed (Active)San Francisco MLS #509817,1298000.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3425 Noriega St,San Francisco,CA,94122,998000,2.0,1.0,San Francisco,1124.0,2435.0,1945.0,1,888.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/3425-Noriega-St-94122/home/1574005,San Francisco MLS,423912663,N,Y,37.7529996,-122.5005452,"Central, Gas","Tile, Vinyl, Wood",,9,8,7,888.0,1014624.0,7056.0,82,Very bikeable,87,Very walkable,54,Good transit,Moderate,Minor,Minor,Minimal,"Places6 groceries, 28 restaurants, 6 parksTransit18, 29, 48, 7, L-OWL, LBUS, N, N-OWL, NBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423912663,998000.0,,,,https://www.redfin.com/CA/San-Francisco/3425-Noriega-St-94122/home/1574005,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,62 Delmar St,San Francisco,CA,94117,1495000,3.0,1.5,San Francisco,1149.0,1999.0,1908.0,1,1301.0,325.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/62-Delmar-St-94117/home/49781089,San Francisco MLS,423913227,N,Y,37.7680776,-122.4455586,Fireplace(s),"Tile, Wood",,8,2,8,1301.0,,10896.0,73,Very bikeable,97,Walker's paradise,77,Excellent transit,Minimal,NA,Minor,Minimal,"Places7 groceries, 27 restaurants, 4 parksTransit21, 33, 37, 43, 5, 5R, 6, 7, N, N-OWL, NBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423913227,1495000.0,"Oct 8, 2021",ListedSan Francisco MLS #421589291,1395000.0,https://www.redfin.com/CA/San-Francisco/62-Delmar-St-94117/home/49781089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,574 Silver Ave,San Francisco,CA,94112,949000,2.0,2.0,San Francisco,,3210.0,1919.0,1,,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/574-Silver-Ave-94112/home/772429,San Francisco MLS,423912576,N,Y,37.7284594,-122.4247282,"Central, Gas, Wall Furnace","Tile, Vinyl",,5,5,5,,956888.0,6710.0,58,Bikeable,68,Somewhat walkable,77,Excellent transit,Minimal,Minimal,Minimal,Minimal,"Places5 groceries, 33 restaurants, 7 parksTransit14, 14R, 23, 29, 35, 36, 44, 49, 52, 54, 67, J","Sep 29, 2023",Listed (Active)San Francisco MLS #423912576,949000.0,,,,https://www.redfin.com/CA/San-Francisco/574-Silver-Ave-94112/home/772429,,None,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,451 Kansas St #398,San Francisco,CA,94107,1089000,2.0,2.0,San Francisco,931.0,80311.0,2007.0,1,1170.0,689.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-398/home/23424294,San Francisco MLS,423913191,N,Y,37.7637484,-122.4027468,Electric,"Tile, Wood",,5,3,NA,1089.0,1089137.0,8389.0,72,Very bikeable,96,Walker's paradise,74,Excellent transit,Minimal,NA,Moderate,Minimal,"Places3 groceries, 33 restaurants, 5 parksTransit19, 22, 27, 292, 33, 397, 48, 55, 9, 90, 9R, CCA/Adobe, TC, West","Sep 29, 2023",Listed (Active)San Francisco MLS #423913191,1089000.0,"Jun 10, 2016",PendingSan Francisco MLS #446462,NA,https://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-398/home/23424294,,None,,"Jun 3, 2016",Listed (Active)San Francisco MLS #446462,995000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1501 Filbert St Ph 7F,San Francisco,CA,94123,2995000,2.0,2.5,San Francisco,1634.0,10900.0,2014.0,1,1833.0,979.0,Active,,,https://www.redfin.com/CA/San-Francisco/1501-Filbert-St-94123/unit-7F/home/102817181,San Francisco MLS,423913352,N,Y,37.7991911,-122.4245164,,"Carpet, Wood",,6,6,7,1833.0,2992523.0,22156.0,77,Very bikeable,100,/100Walker's paradise,82,Excellent transit,Minimal,NA,Minor,Minimal,"Places4 groceries, 22 restaurants, 0 parksTransit1, 101, 114, 12, 130, 132, 150, 154, 172, 19, 27, 28, 30, 43, 45, 49, 90, 91, PH","Sep 29, 2023",Listed (Active)San Francisco MLS #423913352,2995000.0,"Jun 27, 2018",DelistedSan Francisco MLS #470700,NA,https://www.redfin.com/CA/San-Francisco/1501-Filbert-St-94123/unit-7F/home/102817181,,,,"May 11, 2018",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
